DateTime,Entries,UniqueIPs
1536070423,13764,13764
1536074021,13731,13731
1536077624,13701,13701
1536081228,13691,13691
1536084830,13740,13740
1536088432,13717,13717
1536092030,13706,13706
1536095630,13715,13715
1536099224,13690,13690
1536102839,13691,13691
1536106450,13731,13731
1536110044,13761,13761
1536113639,13760,13760
1536117232,13745,13745
1536120834,13739,13739
1536128020,13705,13705
1536131631,13721,13721
1536135225,13684,13684
1536138825,13679,13679
1536142416,13656,13656
1536146009,13645,13645
1536149621,13654,13654
1536153224,13607,13607
1536156817,13620,13620
1536160423,13612,13612
1536164020,13594,13594
1536167618,13601,13601
1536171211,13612,13612
1536174823,13645,13645
1536178424,13634,13634
1536182032,13594,13594
1536185625,13577,13577
1536189226,13648,13648
1536192830,13636,13636
1536196422,13604,13604
1536200015,13631,13631
1536203627,13655,13655
1536207227,13648,13648
1536210822,13613,13613
1536214420,13605,13605
1536218017,13622,13622
1536221613,13637,13637
1536225217,13613,13613
1536228814,13583,13583
1536232413,13561,13561
1536236016,13559,13559
1536239620,13616,13616
1536243221,13678,13678
1536246828,13690,13690
1536250434,13695,13695
1536254040,13712,13712
1536257622,13636,13636
1536261230,13629,13629
1536264828,13613,13613
1536268425,13567,13567
1536272026,13534,13534
1536275609,13472,13472
1536279225,13481,13481
1536282822,13500,13500
1536286418,13525,13525
1536290020,13534,13534
1536293623,13525,13525
1536297218,13533,13533
1536300808,13498,13498
1536304407,13501,13501
1536308022,13504,13504
1536311613,13491,13491
1536315217,13492,13492
1536318816,13451,13451
1536322408,13425,13425
1536326013,13425,13425
1536329608,13435,13435
1536333214,13465,13465
1536336813,13477,13477
1536340420,13467,13467
1536344016,13448,13448
1536347622,13499,13499
1536351223,13505,13505
1536354822,13540,13540
1536358415,13524,13524
1536362017,13506,13506
1536365615,13497,13497
1536369220,13492,13492
1536372813,13528,13528
1536376410,13561,13561
1536380011,13545,13545
1536383610,13534,13534
1536387202,13528,13528
1536390812,13548,13548
1536394414,13542,13542
1536398015,13537,13537
1536401613,13494,13494
1536405208,13468,13468
1536408818,13442,13442
1536412404,13434,13434
1536416016,13508,13508
1536419610,13556,13556
1536423223,13575,13575
1536426823,13552,13552
1536430418,13569,13569
1536434032,13589,13589
1536437624,13493,13493
1536441225,13537,13537
1536444827,13517,13517
1536448424,13544,13544
1536452030,13512,13512
1536455623,13564,13564
1536459222,13586,13586
1536462824,13645,13645
1536466428,13661,13661
1536470023,13642,13642
1536473626,13633,13633
1536477219,13609,13609
1536480813,13587,13587
1536484425,13600,13600
1536488025,13596,13596
1536491624,13610,13610
1536495221,13572,13572
1536498815,13557,13557
1536502415,13558,13558
1536506015,13609,13609
1536509621,13644,13644
1536513220,13620,13620
1536516822,13634,13634
1536520423,13626,13626
1536524020,13628,13628
1536527632,13651,13651
1536531229,13656,13656
1536534827,13625,13625
1536538417,13597,13597
1536542023,13585,13585
1536545621,13584,13584
1536549222,13609,13609
1536552814,13628,13628
1536556419,13597,13597
1536560017,13569,13569
1536563619,13585,13585
1536567214,13541,13541
1536570812,13563,13563
1536574415,13576,13576
1536578014,13530,13530
1536581618,13548,13548
1536585205,13505,13505
1536588813,13512,13512
1536592408,13505,13505
1536596009,13519,13519
1536599609,13527,13527
1536603211,13486,13486
1536606794,13470,13470
1536610406,13446,13446
1536614008,13442,13442
1536617611,13460,13460
1536621212,13441,13441
1536624814,13482,13482
1536628407,13466,13466
1536632008,13483,13483
1536635613,13510,13510
1536639210,13471,13471
1536642808,13474,13474
1536646411,13462,13462
1536650004,13439,13439
1536653618,13397,13397
1536657194,13357,13357
1536660813,13371,13371
1536664396,13265,13265
1536668003,13196,13196
1536671598,13166,13166
1536675203,13127,13127
1536678798,13122,13122
1536682414,13160,13160
1536686027,13202,13202
1536689618,13163,13163
1536693221,13171,13171
1536696811,13145,13145
1536700418,13121,13121
1536704009,13140,13140
1536707593,13170,13170
1536711197,13144,13144
1536714793,13123,13123
1536718394,13123,13123
1536721991,13121,13121
1536725595,13155,13155
1536729198,13189,13189
1536732798,13189,13189
1536736396,13170,13170
1536739986,13183,13183
1536743595,13154,13154
1536747191,13157,13157
1536750798,13168,13168
1536754389,13127,13127
1536757989,13098,13098
1536761588,13064,13064
1536765184,13078,13078
1536768793,13106,13106
1536772393,13097,13097
1536775998,13121,13121
1536779600,13116,13116
1536783195,13118,13118
1536786792,13097,13097
1536790390,13063,13063
1536793991,13067,13067
1536797593,13050,13050
1536801200,13053,13053
1536804788,13033,13033
1536808386,12990,12990
1536811991,13025,13025
1536815576,13048,13048
1536819187,13116,13116
1536822796,13124,13124
1536826386,13118,13118
1536829990,13089,13089
1536833584,13024,13024
1536837200,13038,13038
1536840789,13032,13032
1536844388,12966,12966
1536847986,12919,12919
1536851580,12871,12871
1536855197,12889,12889
1536858791,12899,12899
1536862402,12933,12933
1536865991,12952,12952
1536869608,12920,12920
1536873213,12945,12945
1536876797,12903,12903
1536880403,12908,12908
1536884004,12914,12914
1536887588,12879,12879
1536891187,12861,12861
1536894797,12827,12827
1536898364,12822,12822
1536901986,12842,12842
1536905593,12867,12867
1536909172,12878,12878
1536912782,12885,12885
1536916377,12873,12873
1536919978,12874,12874
1536923577,12914,12914
1536927183,12935,12935
1536930792,12930,12930
1536934379,12919,12919
1536937981,12879,12879
1536941578,12848,12848
1536945178,12852,12852
1536948781,12952,12952
1536952390,12996,12996
1536955988,12969,12969
1536959591,12943,12943
1536963186,12932,12932
1536966794,12932,12932
1536970396,12948,12948
1536973984,12938,12938
1536977578,12910,12910
1536981178,12880,12880
1536984778,12866,12866
1536988383,12857,12857
1536991983,12903,12903
1536995584,12924,12924
1536999181,12913,12913
1537002786,12914,12914
1537006382,12914,12914
1537009982,12886,12886
1537013588,12881,12881
1537017186,12909,12909
1537020780,12826,12826
1537024384,12827,12827
1537027983,12812,12812
1537031582,12824,12824
1537035180,12828,12828
1537038784,12871,12871
1537042385,12892,12892
1537045987,12858,12858
1537049586,12853,12853
1537053179,12799,12799
1537056782,12839,12839
1537060378,12781,12781
1537063973,12742,12742
1537067569,12675,12675
1537071178,12643,12643
1537074779,12652,12652
1537078383,12664,12664
1537081981,12684,12684
1537085565,12709,12709
1537089179,12686,12686
1537092772,12714,12714
1537096378,12697,12697
1537099976,12696,12696
1537103577,12707,12707
1537107164,12723,12723
1537110773,12688,12688
1537114373,12665,12665
1537117965,12647,12647
1537121573,12623,12623
1537125179,12651,12651
1537128776,12677,12677
1537132382,12664,12664
1537135973,12647,12647
1537139582,12635,12635
1537143181,12615,12615
1537146792,12622,12622
1537150393,12614,12614
1537153985,12568,12568
1537157575,12561,12561
1537161177,12577,12577
1537164769,12577,12577
1537168364,12543,12543
1537171973,12582,12582
1537175570,12603,12603
1537179177,12578,12578
1537182769,12583,12583
1537186355,12510,12510
1537189965,12504,12504
1537193563,12496,12496
1537197153,12463,12463
1537200759,12467,12467
1537204368,12443,12443
1537207961,12439,12439
1537211569,12474,12474
1537215160,12470,12470
1537218761,12492,12492
1537222365,12481,12481
1537225962,12474,12474
1537229559,12399,12399
1537233156,12425,12425
1537236767,12427,12427
1537240363,12451,12451
1537243963,12450,12450
1537247562,12425,12425
1537251161,12408,12408
1537254766,12384,12384
1537258359,12432,12432
1537261961,12483,12483
1537265556,12459,12459
1537269162,12453,12453
1537272762,12454,12454
1537276512,12439,12439
1537279965,12472,12472
1537283559,12472,12472
1537287157,12433,12433
1537290761,12401,12401
1537294365,12371,12371
1537297966,12344,12344
1537301567,12381,12381
1537305168,12414,12414
1537308766,12408,12408
1537312365,12371,12371
1537315965,12361,12361
1537319563,12315,12315
1537323155,12316,12316
1537326765,12324,12324
1537330351,12274,12274
1537333957,12256,12256
1537337539,12216,12216
1537341155,12194,12194
1537344755,12210,12210
1537348353,12240,12240
1537351960,12226,12226
1537355553,12203,12203
1537359164,12229,12229
1537362750,12219,12219
1537366358,12224,12224
1537369953,12178,12178
1537373555,12159,12159
1537377142,12182,12182
1537380752,12144,12144
1537384348,12139,12139
1537387945,12161,12161
1537391543,12175,12175
1537395156,12219,12219
1537398754,12250,12250
1537402350,12230,12230
1537405957,12367,12367
1537409568,12494,12494
1537413174,12546,12546
1537416767,12516,12516
1537420378,12499,12499
1537423940,12447,12447
1537427561,12405,12405
1537431164,12424,12424
1537434767,12475,12475
1537438371,12536,12536
1537441968,12544,12544
1537445573,12563,12563
1537449171,12587,12587
1537452772,12572,12572
1537456359,12578,12578
1537459973,12587,12587
1537463571,12533,12533
1537467170,12557,12557
1537470762,12523,12523
1537474369,12515,12515
1537477977,12516,12516
1537481576,12545,12545
1537485174,12563,12563
1537488783,12684,12684
1537492393,12743,12743
1537495981,12744,12744
1537499574,12753,12753
1537503185,12775,12775
1537506777,12745,12745
1537510378,12721,12721
1537513967,12691,12691
1537517584,12671,12671
1537521174,12679,12679
1537524777,12678,12678
1537528378,12691,12691
1537531971,12670,12670
1537535566,12658,12658
1537539176,12632,12632
1537542761,12627,12627
1537546375,12629,12629
1537549970,12591,12591
1537553566,12593,12593
1537557169,12541,12541
1537560769,12522,12522
1537564366,12524,12524
1537567975,12554,12554
1537571577,12621,12621
1537575171,12605,12605
1537578773,12647,12647
1537582376,12633,12633
1537585978,12631,12631
1537589571,12653,12653
1537593173,12671,12671
1537596792,12621,12621
1537600372,12578,12578
1537603972,12558,12558
1537607573,12534,12534
1537611174,12576,12576
1537614776,12629,12629
1537618375,12682,12682
1537621979,12743,12743
1537625581,12777,12777
1537629180,12740,12740
1537632779,12714,12714
1537636382,12711,12711
1537639968,12685,12685
1537643575,12651,12651
1537647172,12629,12629
1537650780,12667,12667
1537654381,12684,12684
1537657974,12706,12706
1537661581,12718,12718
1537665177,12711,12711
1537668778,12718,12718
1537672375,12703,12703
1537675976,12703,12703
1537679570,12690,12690
1537683176,12673,12673
1537686771,12661,12661
1537690369,12623,12623
1537693967,12622,12622
1537697559,12570,12570
1537701168,12610,12610
1537704769,12654,12654
1537708368,12640,12640
1537711964,12617,12617
1537715568,12585,12585
1537719165,12558,12558
1537722768,12586,12586
1537726363,12584,12584
1537729974,12604,12604
1537733573,12639,12639
1537737170,12631,12631
1537740767,12646,12646
1537744371,12675,12675
1537747964,12701,12701
1537751571,12703,12703
1537755171,12695,12695
1537758770,12708,12708
1537762374,12695,12695
1537765974,12671,12671
1537769570,12670,12670
1537773177,12635,12635
1537776769,12611,12611
1537780370,12608,12608
1537783975,12595,12595
1537787577,12613,12613
1537791176,12633,12633
1537794778,12647,12647
1537798360,12636,12636
1537801981,12632,12632
1537805569,12612,12612
1537809176,12624,12624
1537812774,12703,12703
1537816373,12699,12699
1537819972,12711,12711
1537823572,12694,12694
1537827171,12667,12667
1537830766,12668,12668
1537834375,12679,12679
1537837967,12686,12686
1537841574,12682,12682
1537845170,12667,12667
1537848758,12670,12670
1537852375,12659,12659
1537855981,12696,12696
1537859574,12769,12769
1537863216,12734,12734
1537866821,12707,12707
1537870421,12713,12713
