DateTime,AddedIPs,RemovedIPs
1536026666,2,1
1536030264,0,2
1536037475,0,1
1536044670,1,1
1536048267,1,1
1536051881,0,1
1536055463,1,2
1536059064,1,1
1536062657,0,1
1536066272,2,1
1536069862,0,1
1536077060,2,0
1536080659,5,1
1536084267,2,0
1536087873,2,2
1536095076,1,1
1536102284,2,2
1536105892,67,1
1536109476,11,1
1536113081,2,0
1536116677,1,0
1536120273,3,11
1536123866,1,1
1536127467,0,3
1536131065,0,4
1536134670,1,0
1536138275,1,0
1536141869,2,1
1536145465,2,1
1536149072,1,2
1536152670,0,2
1536159869,0,3
1536163473,1,2
1536167065,2,1
1536170659,3,1
1536174269,3,1
1536177873,1,1
1536181482,1,3
1536185068,3,2
1536188674,1,0
1536192270,0,3
1536195870,1,6
1536199474,1,11
1536203066,4,2
1536206683,1,0
1536210263,0,3
1536213861,1,1
1536217465,3,2
1536221074,0,2
1536224661,0,1
1536228261,0,1
1536231868,1,0
1536235462,1,0
1536239065,0,1
1536242670,2,0
1536246262,4,1
1536249878,1,1
1536253484,0,2
1536257067,4,2
1536260676,1,1
1536264274,2,0
1536267870,1,1
1536271475,2,2
1536275068,4,2
1536278674,3,0
1536282272,4,1
1536285889,1,1
1536289473,4,1
1536293083,1,1
1536296662,1,3
1536300264,3,0
1536307487,1,1
1536314678,1,0
1536318272,3,0
1536321868,0,1
1536325472,0,1
1536329064,2,0
1536332674,29,2
1536336267,14,1
1536339877,11,0
1536343476,10,1
1536347083,6,1
1536350680,1,4
1536354272,1,1
1536357885,0,4
1536361469,0,8
1536365072,34,7
1536368673,5,0
1536372267,3,1
1536375869,2,1
1536379465,0,3
1536383068,0,1
1536386659,1,1
1536390275,1,0
1536393865,2,1
1536401072,2,2
1536408268,6,0
1536411865,23,1
1536415469,8,2
1536419061,4,1
1536422674,3,1
1536426276,7,0
1536429880,1,0
1536433482,7,1
1536437086,2,1
1536440679,4,0
1536447878,0,3
1536451483,4,0
1536455075,2,1
1536458679,13,0
1536462274,1,0
1536465881,1,0
1536469472,2,1
1536473080,2,1
1536476672,1,0
1536480273,4,1
1536483876,4,2
1536487476,4,3
1536491076,1,2
1536494677,2,1
1536498272,0,2
1536501874,1,0
1536505470,3,1
1536509077,2,0
1536512674,1,0
1536516276,4,2
1536519875,1,1
1536523478,3,2
1536527088,3,1
1536530693,8,0
1536534280,1,1
1536537871,4,0
1536541483,1,0
1536545080,3,4
1536548677,4,1
1536552274,3,1
1536555874,4,1
1536559471,4,0
1536563076,9,3
1536566660,6,0
1536570268,6,2
1536573873,5,3
1536577476,2,1
1536581077,3,2
1536584675,8,1
1536588278,7,2
1536591867,7,1
1536595478,9,1
1536599075,4,0
1536602683,7,1
1536606272,6,1
1536609885,4,4
1536613468,2,1
1536617074,2,1
1536620664,2,4
1536624274,2,2
1536631475,3,1
