DateTime,AddedIPs,RemovedIPs
1536322828,1,0
1536324930,0,1
1536343833,67,0
1536346832,177,0
1536347133,233,0
1536347733,483,0
1536348029,248,0
1536348630,277,0
1536350130,1,0
1536357629,1,0
1536364535,25,0
1536364836,178,0
1536365136,228,0
1536365730,14,0
1536384634,1,0
1536410734,1,0
1536431431,1,0
1536432032,1,0
1536432631,2,0
1536434128,1,0
1536447035,1,0
1536450934,1,0
1536460835,1,0
1536470125,1,0
1536501328,1,0
1536532831,1,0
1536573032,1,0
1536592527,0,1
1536597333,1,0
1536621628,1,0
1536624030,0,3
1536624328,0,4
1536624935,0,10
1536625235,0,7
1536625835,0,13
1536626432,0,6
1536626732,0,3
1536627329,0,4
1536628536,177,0
1536628835,227,0
1536629135,212,0
1536629734,452,0
1536630033,223,0
1536630636,460,0
1536631236,477,0
1536631536,189,0
1536651933,1,0
1536654634,1,0
1536671138,1,0
1536683737,1,0
1536684036,1,0
1536687029,1,0
1536691228,0,1
1536694829,1,0
1536702328,0,1
1536712834,1,0
1536719136,1,0
1536756627,0,1
1536760829,4,0
1536763229,0,1
1536774327,2,0
1536775830,1,0
1536785736,1,0
1536806732,1,0
1536826527,1,0
1536826826,1,0
1536827429,1,0
1536828927,1,0
1536832236,1,0
1536835233,1,0
1536842732,1,0
1536860427,1,0
1536877229,1,0
1536905427,0,1
1536909931,1,0
1536910528,1,0
1536920130,0,1
1536924037,0,1
1536924934,1,0
1536926436,0,1
1536964828,1,0
1536965733,2,0
1536966925,1,0
1536968728,1,0
1536970834,1,0
1536974131,1,0
1536984328,2,0
1536985527,159,0
1536986126,415,7
1536986426,221,0
1536987026,440,0
1536987628,441,0
1536987926,223,0
1536988525,467,0
1536988827,211,0
1536989426,91,0
1536990628,1,0
1537013733,1,0
1537023638,1,0
1537024535,1,0
1537027539,1,0
1537041028,0,1
1537087233,1,0
1537122328,1,0
1537122926,1,0
1537140036,1,0
1537143933,1,0
1537145434,2,0
1537169732,1,0
1537178729,1,0
1537197632,1,0
1537208132,1,0
1537221930,1,0
1537265135,8,0
1537277435,0,3
1537283134,1,0
1537286435,1,0
1537305331,1,0
1537323336,4,0
1537341333,1,0
1537343130,1,0
1537360234,1,0
1537390836,0,1
1537391136,1,0
1537408535,1,0
1537450832,1,0
1537455333,1,0
1537455633,0,3
1537459235,1,0
1537512927,1,0
1537513229,1,0
1537524030,1,1
1537524630,0,3
1537525231,0,2
1537527031,0,10
1537536631,1,0
1537542029,1,0
1537561231,4,0
1537561525,20,0
1537561828,8,0
1537562127,27,0
1537565429,13,0
1537566028,55,0
1537566327,23,0
1537566932,116,0
1537567231,25,0
1537567835,19,0
1537568129,8,0
1537568430,33,0
1537569025,111,0
1537569331,60,0
1537569635,67,0
1537569936,51,0
1537570230,72,0
1537570833,113,0
1537571133,76,0
1537571726,95,0
1537572026,45,0
1537572627,105,0
1537573225,115,0
1537573524,59,0
1537574135,76,0
1537574735,63,0
1537575035,44,0
1537575635,106,0
1537575937,59,0
1537576236,43,0
1537576535,68,0
1537577134,88,0
1537577729,91,0
1537578032,44,0
1537578632,90,0
1537578930,62,0
1537579232,50,0
1537580428,191,0
1537580731,25,0
1537581331,71,0
1537581631,43,0
1537582234,108,0
1537582836,117,0
1537583134,58,0
1537583732,162,0
1537584034,50,0
1537584629,98,0
1537585226,108,0
1537585535,60,0
1537586131,84,0
1537586434,26,0
1537587030,117,0
1537587332,78,0
1537587632,74,0
1537588226,83,0
1537588529,1,0
1537590927,1,0
1537592128,13,0
1537593328,40,0
1537593632,8,0
1537594827,3,0
1537595125,4,0
1537595728,2,0
1537596632,1,0
1537597231,6,0
1537598127,53,0
1537598432,94,0
1537599029,1,0
1537599628,1,0
1537599933,1,0
1537601432,2,0
1537602326,16,0
1537604431,1,0
1537604736,2,0
1537606231,1,0
1537607126,18,0
1537608335,3,0
1537609233,2,0
1537611031,1,0
1537611927,1,0
1537612531,1,0
1537613126,3,0
1537614026,54,0
1537614327,2,0
1537614928,2,0
1537615825,11,0
1537616129,8,0
1537616725,7,0
1537617325,15,0
1537618225,7,0
1537618830,139,0
1537619130,89,0
1537619730,153,0
1537620032,74,0
1537620632,1,0
1537620932,2,0
1537621534,6,0
1537622130,23,0
1537622429,15,7
1537623031,50,11
1537623635,84,11
1537623936,40,2
1537624533,73,0
1537624830,34,7
1537625430,1,13
1537625733,0,4
1537626033,0,13
1537626630,1,15
1537626931,0,6
1537627232,0,4
1537627530,0,1
1537628734,1,0
1537629335,3,0
1537630531,58,0
1537630833,66,0
1537631131,52,0
1537631727,16,0
1537632628,139,0
1537635331,33,0
1537635636,199,0
1537635936,277,0
1537636528,472,0
1537636832,230,0
1537637433,461,0
1537638028,462,0
1537638329,231,0
1537638931,104,0
1537640733,7,0
1537642530,1,0
1537644627,25,0
1537646135,1,0
1537647629,2,0
1537648525,36,0
1537648828,68,0
1537649428,78,0
1537650330,5,0
1537651530,36,0
1537651825,47,0
1537652727,17,0
1537655727,35,0
1537656032,8,0
1537658129,37,0
1537658427,12,0
1537659926,0,2
1537660535,0,7
1537660835,0,4
1537661435,0,17
1537662035,59,12
1537662335,0,2
1537662935,41,6
1537663232,16,7
1537663836,3,8
1537664134,0,6
1537664436,0,2
1537664734,22,4
1537665334,0,7
1537665635,0,1
1537666235,1,11
1537666834,0,6
1537667136,1,2
1537667735,0,16
1537668032,0,2
1537668633,2,0
1537669535,48,0
1537670135,18,0
1537671630,75,0
1537671933,7,0
1537673434,4,0
1537674333,48,0
1537674930,5,0
1537675527,2,0
1537677326,2,0
1537678528,4,0
