DateTime,AddedIPs,RemovedIPs
1537655136,12,0
1537655431,13,0
1537655727,3,0
1537656032,5,0
1537656635,11,0
1537657232,15,0
1537657536,6,0
1537658129,13,0
1537658428,8,0
1537659031,15,0
1537659631,12,0
1537659926,8,0
1537660535,15,0
1537660835,4,0
1537661435,15,0
1537662035,21,0
1537662335,5,0
1537662935,15,0
1537663233,12,0
1537663836,17,0
1537664134,3,0
1537664436,8,0
1537664735,8,0
1537665335,6,0
1537665635,5,1
1537666235,12,0
1537666835,12,0
1537667136,7,0
1537667735,21,0
1537668032,9,0
1537668633,18,0
1537669234,20,0
1537669535,7,0
1537670135,16,0
1537670433,5,0
1537671029,7,0
1537671630,17,0
1537671933,3,0
1537672535,16,0
1537672835,5,0
1537673434,9,0
1537673735,8,0
1537674333,5,0
1537675832,1,0
1537676733,3,0
1537678225,5,0
1537678829,6,0
1537679135,6,0
1537679735,20,0
1537680033,7,0
1537680635,11,0
1537681226,11,0
1537681532,6,0
1537682128,8,0
1537682731,17,0
1537683027,5,0
1537683329,3,0
1537683629,8,0
1537683928,6,0
1537684227,10,0
1537684527,2,0
1537684828,10,0
1537685127,3,0
1537685427,7,0
1537686028,12,0
1537686330,4,0
1537686926,21,0
1537687226,10,0
1537687832,15,0
1537688135,3,0
1537688436,4,0
1537688734,6,0
1537689332,8,0
1537689637,8,0
1537690235,21,0
1537690835,20,0
1537691136,8,0
1537691734,12,0
1537692035,6,0
1537692635,11,0
1537693235,25,0
1537693535,5,0
1537694131,13,0
1537694435,11,0
1537694735,4,0
1537695036,5,0
1537695635,11,0
1537695935,10,0
1537696529,11,0
1537696832,5,0
1537697431,12,0
1537697735,6,0
1537698035,6,0
1537698335,5,0
1537698635,2,0
1537698929,3,0
1537699230,5,0
1537699532,7,0
1537699833,2,0
1537700434,17,0
1537700733,3,0
1537701331,16,1
1537701632,7,0
1537702232,12,0
1537702534,11,0
1537702831,6,0
1537703433,16,0
1537703726,9,0
1537704028,6,0
1537704327,13,0
1537704630,6,0
1537705231,14,0
1537705528,7,0
1537706135,17,0
1537706430,7,0
1537707028,20,0
1537707628,15,0
1537707931,4,0
1537708528,16,0
1537708835,6,0
1537709133,8,0
1537709433,5,0
1537709735,10,0
1537710029,8,0
1537710327,7,0
1537710927,18,0
1537711227,9,0
1537711832,19,0
1537712126,6,0
1537712426,9,0
1537712730,8,0
1537713032,8,0
1537713326,3,0
1537713633,7,0
1537713930,8,0
1537714227,6,0
1537714829,21,0
1537715125,8,0
1537715726,17,0
1537716033,10,0
1537716632,21,0
1537716929,8,0
1537717228,9,0
1537717529,6,0
1537718127,11,0
1537718429,8,0
1537719025,11,0
1537719625,17,0
1537719931,5,0
1537720526,24,0
1537720831,2,0
1537721429,21,0
1537721728,5,0
1537722025,8,0
1537722326,8,0
1537722926,16,0
1537723228,7,0
1537723530,15,0
1537723826,7,0
1537724427,9,0
1537724733,9,0
1537725333,20,0
1537725627,5,0
1537726231,13,0
1537726527,7,0
1537726830,8,0
1537727132,3,0
1537727427,4,0
1537727731,4,0
1537728034,8,0
1537728330,7,0
1537728632,12,0
1537729232,15,0
1537729528,6,0
1537729830,10,0
1537730126,8,0
1537730427,5,0
1537731027,19,0
1537731335,9,0
1537731635,3,0
1537731928,10,0
1537732228,11,0
1537732528,9,0
1537733131,16,0
1537733732,17,0
1537734033,5,0
1537734629,18,0
1537735233,13,0
1537735536,7,0
1537736130,14,0
1537736728,12,0
1537737030,7,0
1537737325,7,0
1537737627,5,0
1537737935,6,0
1537738229,5,0
1537738527,8,0
1537738829,7,0
1537739127,10,0
1537739434,7,0
1537739735,7,0
1537740033,10,0
1537740327,4,0
1537740930,12,0
1537741228,7,0
