DateTime,AddedIPs,RemovedIPs
1534240800,667,668
1534248000,200,207
1534255200,78,80
1534262400,41,39
1534276800,23,23
1534287600,59,54
1534291200,868,887
1534298400,851,809
1534305600,380,387
1534312800,149,152
1534320000,177,176
1534327200,0,1
1534341600,1,1
1534348800,754,761
1534356000,184,191
1534363200,255,250
1534370400,95,85
1534377600,524,900
1534385400,824,446
1534399800,717,720
1534407000,433,437
1534414200,576,567
1534421400,194,198
1534428600,174,169
1534435800,182,178
1534443000,138,133
1534450200,158,167
1534457400,72,79
1534464600,648,899
1534471800,713,496
1534479000,687,659
1534486200,371,369
1534493400,299,292
1534500600,215,228
1534507800,138,140
1534515000,107,110
1534522200,139,130
1534529400,134,126
1534536600,239,249
1534543800,55,60
1534551000,745,886
1534558200,707,599
1534565400,659,635
1534572600,348,346
1534579800,292,292
1534587000,202,199
1534594200,158,160
1534601400,166,147
1534608600,82,89
1534615800,119,118
1534623000,82,88
1534630200,58,66
1534637400,829,879
1534644600,659,632
1534651800,658,620
1534659000,390,374
1534666200,280,287
1534673400,271,263
1534680600,157,175
1534687800,145,153
1534695000,147,144
1534702200,124,119
1534709400,97,102
1534716600,78,69
1534723800,819,897
1534731000,714,684
1534738200,710,661
1534745400,375,391
1534752600,241,225
1534759800,212,212
1534767000,167,160
1534774200,153,162
1534782000,142,142
1534789200,141,140
1534796400,108,108
1534803600,78,80
1534810800,800,895
1534818000,659,609
1534825200,709,666
1534832400,348,361
1534839600,244,246
1534846800,240,241
1534854000,146,155
1534861200,158,143
1534868400,121,119
1534875600,113,111
1534882800,78,85
1534890000,82,79
1534897200,809,883
1534904400,678,627
1534911600,709,653
1534918800,368,374
1534926000,255,258
1534933200,231,241
1534940400,135,125
1534947600,165,181
1534954800,131,131
1534962000,123,124
1534969200,108,106
1534976400,63,69
1534983600,882,886
1534990800,612,688
1534998000,711,628
1535005200,375,387
1535012400,345,339
1535019600,208,204
1535026800,161,164
1535034000,122,125
1535041200,113,112
1535048400,129,134
1535055600,78,79
1535065800,88,83
1535069400,884,881
1535080800,664,716
1535088000,682,616
1535091600,373,373
1535098800,257,252
1535106000,206,211
1535113200,174,164
1535120400,148,152
1535127600,160,156
1535134800,91,98
1535142000,75,81
1535149200,59,57
1535157000,659,897
1535164200,718,503
1535171400,710,695
1535178600,406,406
1535185800,298,288
1535193000,205,212
1535200200,155,161
1535207400,120,118
1535214600,113,112
1535221800,118,119
1535229000,57,59
1535236200,43,43
1535243400,709,886
1535250600,717,553
1535257800,704,683
1535265000,453,454
1535272200,278,281
1535279400,275,270
1535286600,203,191
1535293800,159,174
1535301000,165,167
1535308200,110,104
1535316000,103,109
1535323200,72,72
1535330400,811,890
1535337600,691,660
1535344800,740,691
1535352000,417,420
1535359200,286,290
1535366400,212,204
1535373600,172,168
1535380800,153,157
1535388000,126,125
1535395200,99,100
1535402400,92,97
1535409600,30,34
1535416800,892,883
1535424000,685,708
1535431200,656,641
1535438400,393,399
1535445600,268,271
1535452800,228,231
1535460000,149,152
1535467200,129,138
1535474400,147,153
1535481600,137,126
1535488800,85,89
1535496000,69,71
1535503200,894,859
1535510400,679,704
1535517600,677,652
1535524800,403,388
1535532000,305,316
1535539200,211,216
1535546400,144,142
1535553600,136,137
1535560800,43,49
1535568000,4,5
1535575200,5,5
1535582400,5,2
1535589600,35,890
1535596800,822,18
1535604000,335,310
1535611200,438,393
1535618400,238,252
1535625600,247,231
1535632800,196,191
1535640600,171,165
1535647800,140,145
1535662200,161,158
1535669400,152,155
1535676600,10,917
1535683800,846,6
1535691000,406,407
1535698200,352,319
1535705400,222,215
1535712600,271,265
1535719800,189,191
1535727000,216,219
1535734200,230,242
1535741400,206,203
1535748600,200,208
1535755800,207,190
1535763000,5,890
1535770200,830,4
1535777400,508,477
1535784600,342,334
1535791800,250,226
1535799000,176,180
1535806200,175,178
1535813400,196,192
1535820600,224,215
1535827800,192,198
1535835000,156,150
1535842200,196,191
1535849400,54,905
1535856600,807,36
1535863800,446,392
1535869200,268,258
1535876400,262,266
1535883600,244,250
1535890800,208,207
1535898000,189,189
1535905200,176,182
1535912400,152,149
1535919600,160,153
1535926800,142,150
1535934000,55,876
1535941200,809,34
1535948400,388,371
1535955600,433,370
1535962800,191,196
1535970000,249,246
1535977200,188,178
1535984400,192,198
1535991600,185,196
1535998800,185,183
1536006000,151,159
1536013200,866,874
1536020400,868,887
1536027600,598,635
1536038400,732,673
1536042000,441,456
1536049200,261,269
1536056400,234,237
1536063600,155,151
1536070800,127,127
1536078000,136,123
1536085200,128,128
1536092400,139,140
1536099600,68,61
1536106800,851,887
1536114000,609,632
1536121200,402,372
1536128400,312,269
1536135600,287,286
1536142800,210,217
1536150000,160,172
1536157200,161,172
1536164400,165,152
1536171600,864,864
1536178800,126,129
1536186000,88,89
1536193800,888,881
1536201000,590,681
1536208200,702,615
1536215400,453,449
1536222600,336,346
1536229800,210,218
1536237000,183,179
1536244200,159,154
1536251400,137,146
1536258600,103,108
1536265800,79,86
1536273000,92,99
1536281400,754,850
1536288600,705,615
1536295800,671,620
1536303000,476,472
1536310200,281,288
1536317400,460,489
1536324600,76,85
1536331800,81,90
1536339000,90,84
1536346200,101,102
1536353400,52,52
1536360600,33,23
1536367800,791,861
1536375000,676,611
1536382200,647,624
1536389400,468,470
1536396600,370,378
1536403800,227,229
1536411000,169,163
1536418200,140,134
1536425400,139,143
1536432600,135,128
1536439800,84,84
1536447000,59,65
1536454200,790,876
1536461400,597,544
1536468600,673,625
1536475800,546,541
1536483000,377,395
1536490200,204,213
1536497400,169,163
1536504600,130,117
1536511800,123,121
1536519000,91,91
1536526200,85,89
1536533400,80,82
1536540600,733,883
1536547800,674,564
1536555000,756,722
1536562200,338,337
1536569400,222,231
1536576600,126,134
1536583800,167,149
1536591000,196,193
1536598200,126,121
1536605400,144,133
1536612600,103,104
1536619800,42,40
1536627000,712,900
1536634200,664,548
1536641400,702,621
1536648600,470,489
1536655800,290,305
1536663000,205,207
1536670200,147,152
1536677400,172,167
1536684600,115,110
1536691800,97,95
1536699000,71,70
1536706200,61,60
1536713400,686,881
1536720600,718,582
1536727800,682,614
1536735000,399,424
1536742200,230,244
1536749400,196,185
1536756600,137,144
1536763800,140,166
1536771000,182,159
1536778200,102,103
1536785400,103,94
1536792600,91,89
1536799800,703,863
1536807000,672,547
1536814200,671,609
