DateTime,AddedIPs,RemovedIPs
1537486593,232,233
1537487562,219,211
1537488003,347,3222
1537488503,227,215
1537488977,67,78
1537489460,237,194
1537490422,231,202
1537491394,213,194
1537491602,215,0
1537492345,221,164
1537493308,208,202
1537494260,199,215
1537495237,192,198
1537496209,332,177
1537497653,222,191
1537498571,232,211
1537498802,177,0
1537499540,204,190
1537500494,173,212
1537501480,197,181
1537502447,201,169
1537503381,454,220
1537504344,170,207
1537505315,193,231
1537506257,376,199
1537507251,206,224
1537508190,257,187
1537509157,225,192
1537509602,125,0
1537510112,186,200
1537511075,210,195
1537512033,239,230
1537512997,234,230
1537513202,112,0
1537513956,195,220
1537514911,201,243
1537515878,189,269
1537516827,205,221
1537517785,290,224
1537518757,227,226
1537519702,243,262
1537520794,315,248
1537521869,204,245
1537522582,3,3
1537522816,196,254
1537523796,193,225
1537524002,113,0
1537524756,242,221
1537525708,236,252
1537526675,217,263
1537527643,219,244
1537528586,395,218
1537529543,225,215
1537530498,203,251
1537531486,296,220
1537532428,208,250
1537533382,224,234
1537534348,199,247
1537535308,305,229
1537536261,225,239
1537537222,227,237
1537538192,239,220
1537538402,85,0
1537539152,237,190
1537540094,263,201
1537541058,208,223
1537542034,277,236
1537542991,310,179
1537543942,221,194
1537545158,226,421
1537545864,95,9
1537546127,235,0
1537547060,235,193
1537547782,6,17
1537548011,200,208
1537548985,225,405
1537549203,88,0
1537549702,2,0
1537549931,212,0
1537551148,236,412
1537551856,16,0
1537552108,227,214
1537553085,333,189
1537553787,5,7
1537554011,250,215
1537554977,249,241
1537555689,6,0
1537555952,255,182
1537556402,86,0
1537556896,713,1420
1537557606,5,8
1537557854,242,215
1537558815,193,233
1537559532,5,4
1537559789,193,213
1537560002,82,0
1537560741,199,242
1537561450,12,6
1537561689,224,217
1537562684,218,239
1537563379,5,9
1537563624,238,221
1537564583,267,187
1537565536,229,168
1537566499,210,195
1537567485,299,234
1537568412,200,199
1537569393,234,193
1537570341,240,178
1537570802,87,0
1537571298,248,243
1537572265,210,194
1537573216,208,208
1537574183,198,223
1537574402,61,3704
1537575141,191,232
1537576092,236,228
1537577076,206,207
1537578264,293,267
1537578975,4,2
1537579213,203,205
1537580925,252,391
1537581858,298,186
1537582830,219,183
1537583790,231,0
1537584738,189,211
1537585202,74,0
1537585697,227,214
1537586657,226,200
1537587618,206,172
1537588591,193,207
1537588802,185,0
1537589561,231,191
1537590496,232,200
1537591456,190,202
1537592430,211,217
1537593377,279,238
1537594355,245,210
1537595297,199,240
1537596267,341,252
1537597223,190,214
1537598182,215,189
1537599138,177,246
1537599602,116,0
1537600109,217,239
1537601056,193,265
1537602028,172,227
1537602975,175,233
1537603202,177,0
1537603948,227,227
1537604893,210,184
1537605374,37,34
1537605864,144,223
1537606840,185,191
1537607786,278,205
1537608740,194,200
1537609697,178,259
1537610677,260,200
1537611616,170,241
1537612582,189,229
1537613543,187,213
1537614002,483,0
1537614497,180,251
1537615464,196,219
1537616413,184,238
1537617377,208,222
1537617602,104,0
1537618361,186,167
1537619293,217,213
1537620257,181,235
1537621236,244,229
1537622188,273,179
1537623140,179,194
1537624094,203,213
1537625067,262,208
1537626011,220,197
1537626990,188,229
1537627951,203,193
1537628402,102,0
