DateTime,Entries,UniqueIPs
1537486593,44501,46420
1537487562,44497,46428
1537488003,41685,43553
1537488503,41687,43565
1537488977,41682,43554
1537489460,41709,43597
1537490422,41710,43626
1537491394,41685,43645
1537491602,41870,43860
1537492345,41908,43917
1537493308,41909,43923
1537494260,41881,43907
1537495237,41866,43901
1537496209,41997,44056
1537497653,42002,44087
1537498571,42015,44108
1537498802,42181,44285
1537499540,42175,44299
1537500494,42124,44260
1537501480,42136,44276
1537502447,42146,44308
1537503381,42350,44542
1537504344,42311,44505
1537505315,42275,44467
1537506257,42437,44644
1537507251,42422,44626
1537508190,42469,44696
1537509157,42501,44729
1537509602,42615,44854
1537510112,42590,44840
1537511075,42605,44855
1537512033,42622,44864
1537512997,42630,44868
1537513202,42736,44980
1537513956,42705,44955
1537514911,42651,44913
1537515878,42576,44833
1537516827,42551,44817
1537517785,42606,44883
1537518757,42608,44884
1537519702,42597,44865
1537520794,42652,44932
1537521869,42615,44891
1537522582,42614,44891
1537522816,42542,44833
1537523796,42517,44801
1537524002,42626,44914
1537524756,42648,44935
1537525708,42642,44919
1537526675,42603,44873
1537527643,42580,44848
1537528586,42763,45025
1537529543,42776,45035
1537530498,42718,44987
1537531486,42796,45063
1537532428,42750,45021
1537533382,42741,45011
1537534348,42693,44963
1537535308,42767,45039
1537536261,42752,45025
1537537222,42747,45015
1537538192,42766,45034
1537538402,42851,45119
1537539152,42890,45166
1537540094,42950,45228
1537541058,42936,45213
1537542034,42975,45254
1537542991,43099,45385
1537543942,43135,45412
1537545158,42956,45217
1537545864,43038,45303
1537546127,43260,45538
1537547060,43299,45580
1537547782,43288,45569
1537548011,43286,45561
1537548985,43127,45381
1537549203,43212,45469
1537549702,43213,45471
1537549931,43400,45683
1537551148,43229,45507
1537551856,43244,45523
1537552108,43254,45536
1537553085,43406,45680
1537553787,43404,45678
1537554011,43442,45713
1537554977,43460,45721
1537555689,43466,45727
1537555952,43533,45800
1537556402,43617,45886
1537556896,42917,45179
1537557606,42914,45176
1537557854,42937,45203
1537558815,42896,45163
1537559532,42898,45164
1537559789,42884,45144
1537560002,42959,45226
1537560741,42919,45183
1537561450,42923,45189
1537561689,42932,45196
1537562684,42935,45175
1537563379,42931,45171
1537563624,42940,45188
1537564583,43010,45268
1537565536,43066,45329
1537566499,43077,45344
1537567485,43151,45409
1537568412,43175,45410
1537569393,43226,45451
1537570341,43283,45513
1537570802,43370,45600
1537571298,43378,45605
1537572265,43406,45621
1537573216,43419,45621
1537574183,43393,45596
1537574402,39914,41953
1537575141,39881,41912
1537576092,39902,41920
1537577076,39898,41919
1537578264,39928,41945
1537578975,39929,41947
1537579213,39933,41945
1537580925,39821,41806
1537581858,39924,41918
1537582830,39967,41954
1537583790,40180,42185
1537584738,40184,42163
1537585202,40254,42237
1537585697,40271,42250
1537586657,40314,42276
1537587618,40363,42310
1537588591,40355,42296
1537588802,40537,42481
1537589561,40574,42521
1537590496,40620,42553
1537591456,40631,42541
1537592430,40631,42535
1537593377,40685,42576
1537594355,40736,42611
1537595297,40709,42570
1537596267,40810,42659
1537597223,40799,42635
1537598182,40825,42661
1537599138,40770,42592
1537599602,40886,42708
1537600109,40870,42686
1537601056,40809,42614
1537602028,40778,42559
1537602975,40735,42501
1537603202,40908,42678
1537603948,40915,42678
1537604893,40929,42704
1537605374,40930,42707
1537605864,40867,42628
1537606840,40870,42622
1537607786,40928,42695
1537608740,40929,42689
1537609697,40863,42608
1537610677,40919,42668
1537611616,40849,42597
1537612582,40806,42557
1537613543,40782,42531
1537614002,41261,43014
1537614497,41205,42943
1537615464,41206,42920
1537616413,41139,42866
1537617377,41143,42852
1537617602,41242,42956
1537618361,41266,42975
1537619293,41274,42979
1537620257,41221,42925
1537621236,41239,42940
1537622188,41332,43034
1537623140,41324,43019
1537624094,41327,43009
1537625067,41390,43063
1537626011,41414,43086
1537626990,41376,43045
1537627951,41389,43055
1537628402,41488,43157
1537628899,41438,43096
1537629857,41417,43068
1537630816,41445,43092
1537631775,41420,43053
1537632002,41479,43114
1537632774,41482,43113
1537633694,41455,43089
1537634657,41455,43083
1537635638,41472,43092
1537636583,41519,43134
1537637544,41716,43345
1537638503,41695,43321
1537639464,41712,43346
1537640416,41474,43087
1537641381,41472,43082
1537642336,41655,43279
1537642802,41725,43352
1537643321,40988,42596
1537644255,40952,42556
1537645215,41160,42785
1537646192,40968,42581
1537646402,41013,42628
1537647135,41203,42838
1537648092,41012,42629
1537649078,41191,42825
1537650023,41107,42745
1537650992,40930,42563
1537651947,40888,42524
1537652894,41045,42697
1537653878,41111,42766
1537654812,40889,42526
1537655289,40888,42526
1537655776,41062,42723
1537656739,41022,42673
1537657202,41090,42742
1537657700,40813,42457
1537658654,40987,42648
1537659134,40983,42645
1537659617,40762,42418
1537660578,40942,42611
1537660801,38277,39820
1537661540,38256,39801
1537662497,38049,39572
1537662972,38071,39594
1537663462,38256,39800
1537664436,38228,39772
1537665390,38268,39817
1537666342,38245,39791
1537667295,38400,39961
1537668262,38227,39781
1537669264,38197,39745
1537670182,38377,39942
1537671137,38356,39912
1537672110,38294,39838
1537673059,38278,39837
1537674019,38244,39809
1537674976,38435,40012
1537675202,38486,40065
1537675946,38474,40060
1537676898,38260,39825
1537677875,38262,39823
1537678821,38478,40060
1537679782,38333,39904
1537680745,38569,40159
1537681700,38389,39955
1537682667,38663,40245
1537683621,38677,40267
1537684593,38516,40091
1537685541,38543,40124
1537686002,38605,40187
1537686497,38795,40395
1537687463,38709,40289
1537688415,38894,40498
1537689376,38750,40332
1537689602,38821,40404
1537690342,38968,40568
1537691297,38738,40319
1537692261,38930,40525
1537693238,38947,40536
1537693692,38979,40574
1537694192,38760,40321
1537695139,38940,40510
1537696100,38732,40298
1537697063,39023,40604
1537698017,38861,40436
1537698972,39058,40647
1537699937,39087,40663
1537700402,39169,40746
1537700896,39203,40782
1537701856,39210,40793
1537702812,39248,40834
1537703789,39067,40637
1537704002,39130,40704
1537704746,39350,40948
1537705696,39166,40749
1537706655,39364,40964
1537707642,39168,40768
