DateTime,AddedIPs,RemovedIPs
1537566123,6,1
1537566723,21,0
1537567361,21,0
1537568524,31,0
1537569723,31,0
1537570324,8,0
1537570924,27,0
1537571764,62,191
1537572124,26,0
1537572724,10,0
1537573684,105,0
1537573924,28,0
1537574561,4,0
1537575723,13,0
1537576923,10,0
1537577764,70,158
1537578161,28,0
1537579323,38,0
1537579923,11,1
1537580523,12,0
1537581124,7,0
1537581842,85,0
1537582324,18,0
1537582924,36,0
1537583763,100,5
1537584123,34,0
1537585323,29,0
1537585683,0,143
1537585924,9,0
1537586523,19,0
1537587602,76,0
1537587723,10,0
1537588325,22,0
1537588961,11,1
1537589525,14,0
1537590123,5,0
1537590160,0,2
1537591445,93,93
1537592620,16,2
1537593723,16,0
1537594324,15,0
1537594924,40,0
1537595283,80,11
1537595524,36,0
1537596220,17,1
1537597204,0,128
1537597323,11,0
1537597924,24,0
1537598523,21,0
1537599123,75,0
1537599723,39,1
1537599764,0,1
1537600324,42,0
1537601043,20,47
1537601523,11,0
1537602123,20,0
1537602962,97,0
1537603362,24,0
1537603923,21,0
1537604524,17,0
1537604883,0,59
1537605123,6,0
1537605723,9,1
1537606323,29,0
1537606815,87,0
1537607027,30,0
1537607524,23,0
1537608123,8,0
1537608723,67,19
1537609324,14,1
1537610562,25,1
1537611604,0,94
1537611723,20,0
1537612562,111,0
1537612924,5,2
1537614124,35,2
1537614221,0,2
1537614724,16,0
1537615324,12,0
1537615924,5,0
1537616402,76,24
1537616523,26,1
1537617363,36,58
1537617821,32,2
1537618924,16,1
1537619524,9,0
1537620244,72,16
1537621363,34,2
1537622164,33,112
1537622524,27,0
1537623723,11,0
1537624082,82,0
1537624323,8,0
1537625022,47,0
1537626002,73,16
1537626123,46,0
1537626723,46,0
1537627323,113,1
1537627922,16,66
1537628524,40,0
1537628563,1,0
1537629124,9,0
1537629725,22,0
1537630924,31,0
1537631764,132,19
1537632161,18,3
1537633324,45,0
1537633682,0,122
1537633923,32,0
1537634524,35,0
1537635613,71,0
1537635767,57,0
1537636324,18,0
1537636924,33,0
1537637524,29,0
1537638124,29,1
1537638723,26,0
1537639443,140,53
1537639924,19,1
1537640524,38,0
1537641363,35,71
1537641723,20,0
1537642924,46,1
1537643021,0,1
1537643524,44,0
1537644124,30,0
1537645203,78,24
1537645323,70,1
1537646563,140,1
1537647123,43,133
1537647723,40,0
1537649044,126,0
1537650163,22,1
1537650963,71,20
1537651323,31,0
1537651923,24,1
1537652524,25,0
1537653762,27,4
1537654805,0,149
1537654923,40,0
1537656123,60,0
1537656723,102,0
1537657324,56,0
1537657425,0,1
1537657923,35,0
1537658523,63,0
1537659123,16,0
1537659724,30,0
1537660563,125,192
1537661023,21,2
1537662124,38,0
1537662724,30,0
1537663324,28,0
1537664410,47,0
1537664561,33,1
1537665123,33,0
1537665723,54,0
1537666323,23,0
1537666924,28,0
1537667282,58,77
1537667524,32,0
1537668243,19,63
1537668723,31,0
1537669323,22,2
1537670163,98,0
1537670524,25,0
1537671770,46,1
1537672323,22,0
1537672923,25,0
1537673523,21,0
1537674007,77,93
1537674124,20,0
1537674723,59,0
1537675423,39,0
1537675923,31,0
1537676523,22,1
1537677123,16,0
1537677845,76,167
1537678964,11,0
1537679524,26,0
1537680123,17,0
1537680724,28,0
1537681323,33,0
1537681682,74,0
1537681923,22,1
1537682562,19,2
1537683723,23,0
1537684325,11,0
1537684923,64,1
1537685524,124,100
1537686123,38,0
1537686724,34,0
1537687324,35,0
1537688524,40,0
1537689123,26,0
1537689763,43,3
1537690323,1,0
1537690923,20,0
1537691284,62,47
1537691523,9,1
1537692124,33,1
1537692723,20,0
1537693428,24,0
1537693924,18,0
1537694524,30,0
1537695123,159,0
1537695723,22,0
1537696323,10,0
1537696962,21,1
1537698003,0,86
1537698123,28,0
1537698962,94,0
1537699323,16,0
1537699922,1,0
1537700523,20,1
1537700562,0,1
1537701123,19,0
1537701842,27,55
1537702802,78,0
1537702923,5,0
1537703523,1,0
1537704222,17,2
1537704724,19,0
1537705324,30,0
1537705683,0,84
1537705923,15,1
1537706643,90,0
1537707123,2,0
1537707762,14,0
1537708325,12,0
1537708924,13,0
1537710124,25,0
1537710482,58,14
1537710723,26,0
1537711362,30,0
1537712404,0,90
1537712524,21,0
1537713124,2,0
1537713723,32,0
1537714322,96,0
1537714923,28,0
1537714962,1,0
1537715523,29,0
1537716123,7,0
1537716723,2,0
1537717323,8,0
1537718163,94,138
1537718562,13,1
1537719125,21,0
1537719724,22,0
1537720084,114,0
1537720323,16,1
1537720924,26,0
1537722010,70,94
1537722162,6,1
1537722724,9,0
1537723323,11,0
1537723923,101,22
1537724523,33,0
1537725123,16,0
1537725767,17,1
1537726804,0,125
1537726923,27,0
1537727762,62,0
1537728123,30,0
1537729324,60,0
1537729925,43,0
1537730523,57,0
1537731124,45,0
1537731602,72,18
1537731723,29,1
1537732562,0,147
1537732966,45,1
1537733524,24,0
1537734123,31,0
1537734723,4,0
1537735323,10,0
1537735682,88,0
1537735923,6,0
1537736564,21,0
1537737724,21,0
1537738324,20,0
1537738923,18,0
1537739522,0,87
1537740124,25,0
1537740483,136,0
1537740723,24,0
1537741442,44,177
1537741923,16,0
1537742523,43,0
1537743123,13,0
1537743766,25,0
1537744924,41,0
1537745284,57,0
1537745524,42,0
1537746124,11,0
1537746724,20,0
1537747210,76,16
1537747428,7,0
1537747923,19,0
1537748523,62,0
1537749124,35,176
1537749725,19,0
1537750324,37,0
1537750964,32,0
1537752123,41,0
1537752723,4,0
1537752962,57,10
1537753324,17,0
1537753923,1,0
1537754523,30,0
1537754884,0,131
1537755125,14,0
1537755723,8,1
1537756323,18,0
1537756803,68,0
1537756924,23,0
1537757523,13,0
1537758163,42,0
1537759323,22,0
1537759923,27,1
1537760643,115,12
1537761123,22,0
1537761762,13,1
1537762563,11,184
1537762923,5,1
1537763524,17,1
1537764123,13,0
1537764483,100,0
1537764724,12,0
1537765369,11,2
1537766402,79,98
1537766523,25,0
1537767124,38,0
1537767724,46,0
1537768323,97,84
1537768923,6,0
1537769022,0,4
1537769525,23,0
1537770243,23,56
1537771323,15,0
1537772163,96,0
1537772623,17,6
1537773124,13,0
1537773723,45,0
1537774083,87,62
1537774323,32,0
1537774924,25,0
1537775523,21,0
1537776014,0,70
1537776166,31,1
1537776723,19,0
1537777324,18,0
1537777923,74,0
1537778523,6,0
1537779822,27,2
1537780804,0,59
1537780924,66,0
1537781762,83,0
1537782125,11,0
1537782724,4,0
1537783362,27,2
1537784525,19,1
1537785602,70,18
1537785723,19,0
1537786563,41,47
1537786963,54,1
1537788124,13,0
1537789445,67,11
1537790624,28,3
1537791363,29,110
1537791723,23,0
1537792923,19,0
1537793282,71,0
1537793522,1,0
1537794223,22,2
1537794724,53,0
1537795324,9,0
1537795923,12,0
1537796524,13,0
1537797123,100,101
1537797763,26,3
1537798325,30,0
1537798923,13,0
1537799523,15,0
1537800123,10,0
1537800963,84,0
1537801427,13,1
1537801924,25,0
1537802523,35,0
1537803125,14,0
1537803723,21,0
1537804809,65,17
1537804924,39,1
1537805765,24,117
1537806123,22,0
1537806722,91,0
1537807324,30,1
1537807923,1,0
1537808524,20,0
1537809124,17,0
1537809723,10,0
1537810324,27,0
1537810803,106,24
1537810923,35,0
1537811763,67,127
1537812123,27,0
1537813324,29,0
1537813923,2,0
1537814644,162,0
1537815723,83,0
1537816323,21,0
1537816923,24,0
1537817523,32,0
1537818123,43,0
1537818722,87,26
1537819683,16,141
1537819923,29,0
1537820523,25,0
1537821724,44,0
1537822563,116,0
1537822923,44,0
1537823524,26,1
1537824124,10,0
1537824485,63,20
1537824723,27,1
1537825324,42,0
1537825923,47,0
1537826523,41,1
1537827362,0,185
1537827723,31,0
1537828324,81,0
1537828923,29,0
1537830242,118,18
1537831323,53,1
1537831924,30,0
1537832523,18,0
1537833124,0,190
1537833769,33,0
1537834327,33,0
1537834924,17,0
1537835524,46,0
1537836002,56,0
1537836123,21,0
1537836723,26,0
1537837369,44,0
1537838523,35,0
1537839123,24,0
1537839843,95,7
1537841029,38,0
1537841764,19,146
1537842124,52,0
1537842723,37,0
1537843685,101,0
1537843924,27,0
1537844569,50,0
1537845123,33,0
1537845723,85,0
1537846324,34,0
1537846924,29,0
1537847522,79,7
1537848482,50,173
1537848724,24,0
1537849324,18,0
1537849924,31,0
1537850523,36,0
1537851363,70,0
1537851769,42,2
1537852324,42,1
1537852923,37,0
1537853524,21,0
1537854124,12,0
1537854723,20,0
1537855214,96,15
1537855368,28,1
1537855924,47,0
1537856523,36,0
1537857124,91,140
1537857724,80,0
1537858971,85,0
1537859523,39,0
1537860123,56,0
1537860963,103,46
1537861323,36,0
1537861923,36,0
1537862573,39,3
1537863124,39,0
1537863724,25,0
1537864803,77,12
1537864923,21,1
1537866169,23,0
1537866723,70,102
1537867324,54,0
1537867924,15,0
1537868523,15,0
1537869123,2,0
1537869723,41,0
1537870324,29,4
1537870805,63,67
1537870923,64,0
