DateTime,Entries,UniqueIPs
1536940276,29024,51653
1536941705,29017,51645
1536942080,29024,51652
1536946021,29030,51667
1536948600,29025,51662
1536949277,29030,51667
1536951234,29029,51666
1536956102,29028,51665
1536956468,29030,51667
1536957005,29029,51657
1536962198,29030,51658
1536963303,29032,51661
1536963676,29036,51665
1536965104,29037,51666
1536967811,28882,51512
1536970200,28914,51543
1536970877,28915,51544
1536972602,28918,51547
1536974103,28897,51526
1536977400,28847,51476
1536978068,28848,51477
1536978421,28914,51538
1536981405,28915,51539
1536981674,28916,51540
1536983423,28918,51542
1536984600,28967,51604
1536985281,28970,51607
1536985804,28971,51608
1536989447,28967,51601
1536992102,28999,51620
1536992463,29001,51622
1536994532,28999,51620
1536998773,29000,51621
1536999304,28989,51610
1536999660,28993,51614
1537000237,28983,51600
1537005249,28982,51599
1537006505,28983,51601
1537006871,28986,51604
1537010821,29003,51621
1537012865,29004,51622
1537014067,29008,51626
1537016076,29004,51622
1537017303,28979,51597
1537017600,28981,51598
1537018237,28980,51597
1537020051,28982,51599
1537021269,29313,51962
1537021621,29308,51962
1537024503,29309,51963
1537025091,29310,51964
1537027008,29310,51964
1537027507,29298,51954
1537028104,29299,51955
1537029031,29308,51965
1537032635,29336,51997
1537035681,29337,51998
1537036232,29334,51996
1537038161,29332,51994
1537042877,29335,51997
1537043403,29342,52007
1537049189,29340,52005
1537050071,29341,52006
1537050639,29341,52006
1537054559,29337,52003
1537056981,29338,52004
1537057277,29341,52007
1537057833,29389,52055
1537060255,29388,52054
1537060503,29367,52033
1537064469,29368,52034
1537065000,29307,51976
1537071304,29305,51974
1537071871,29308,51977
1537072249,29335,52005
1537075621,29325,51992
1537078869,29330,51997
1537079444,29363,52030
1537081560,29364,52031
1537082205,29367,52034
1537086064,29370,52037
1537086747,29345,52024
1537093118,29349,52028
1537093273,29350,52029
1537093800,29343,52023
1537097403,29352,52030
1537100499,29353,52031
1537101382,29345,52021
1537103703,29322,51998
1537103985,29322,51998
1537104603,29322,51998
1537107673,28584,51254
1537108200,28586,51256
1537110395,28587,51257
1537111803,28571,51490
1537115283,28575,51494
1537115404,28577,51496
1537116261,28563,51483
1537119004,28567,51499
1537122065,28569,51501
1537122973,28575,51507
1537126572,28575,51507
1537129278,28581,51513
1537129803,28583,51508
1537131143,28583,51508
1537136464,28584,51509
1537137000,28576,51501
1537140604,28567,51492
1537143669,28568,51493
1537144200,28618,51542
1537146906,28599,51523
1537147265,28597,51521
1537150872,28599,51523
1537152000,28544,51466
1537157709,28545,51467
1537158067,28548,51470
1537159200,28581,51503
1537162203,28606,51513
1537165271,28609,51516
1537166400,28605,51512
1537172459,28608,51515
1537172821,28466,51363
1537173600,28475,51372
1537176015,28476,51373
1537179304,28476,51373
1537179669,28479,51376
1537181106,28474,51372
1537184170,28489,51391
1537186869,28490,51392
1537188000,28483,51385
1537190127,28456,51358
1537190930,28454,51356
1537193705,28518,51427
1537194059,28521,51430
1537194958,28569,52246
1537195503,28573,52250
1537200027,28577,52254
1537201261,28578,52255
1537202703,28566,52243
1537205796,28602,52269
1537208509,28605,52272
1537209600,28604,52272
1537209904,28605,52273
1537211847,28605,52273
1537215668,28608,52276
1537216204,28610,52280
1537216800,28616,52286
