DateTime,AddedIPs,RemovedIPs
1537512724,12,0
1537513323,33,0
1537513925,7,0
1537514524,12,0
1537515124,38,0
1537515723,24,0
1537516924,27,0
1537517523,14,0
1537518125,56,0
1537519324,10,0
1537519924,29,0
1537520523,32,0
1537521124,39,2
1537521725,17,0
1537522923,22,0
1537523524,30,1
1537524124,32,1
1537524723,24,0
1537525323,18,0
1537525924,21,0
1537526523,7,0
1537527723,30,0
1537528324,31,0
1537528923,28,0
1537529523,13,0
1537530123,9,0
1537530723,19,0
1537531325,16,0
1537532523,28,1
1537533123,21,0
1537533724,12,1
1537534923,21,0
1537535523,12,0
1537536125,23,0
1537536723,1,0
1537537324,11,0
1537537924,28,0
1537538524,20,0
1537539124,31,0
1537539724,24,0
1537540323,31,0
1537540924,5,0
1537541523,16,0
1537542125,27,0
1537542723,18,0
1537543323,19,0
1537543923,1,0
1537544523,10,1
1537545123,17,0
1537545724,16,0
1537546325,8,0
1537546924,23,0
1537547524,31,0
1537548123,10,1
1537548723,1,0
1537549324,11,0
1537550524,27,0
1537551723,36,1
1537552323,10,1
1537552924,7,0
1537554123,28,0
1537555324,19,0
1537555923,1,0
1537556524,27,0
1537557724,13,0
1537558924,23,0
1537560123,11,0
1537560723,2,0
1537561323,32,1
1537562524,31,1
1537563124,2,0
1537563725,32,0
1537564323,20,0
1537564924,19,0
1537566123,6,1
1537566723,21,0
1537567323,21,0
1537568524,31,0
1537569723,31,0
1537570324,8,0
1537570924,27,0
1537571523,16,0
1537572124,26,0
1537572724,10,0
1537573324,22,0
1537573924,28,0
1537574527,4,0
1537575723,13,0
1537576923,10,0
1537577523,21,0
1537578124,28,0
1537579323,38,0
1537579923,11,1
1537580523,12,0
1537581124,7,0
1537581724,29,0
1537582324,18,0
1537582924,36,0
1537583523,37,0
1537584123,34,0
1537585323,29,0
1537585924,9,0
1537586523,19,0
1537587723,10,0
1537588325,22,0
1537588923,11,0
1537589525,14,0
1537590123,5,0
1537591323,33,0
1537592523,16,1
1537593723,16,0
1537594324,15,0
1537594924,40,0
1537595524,36,0
1537596123,16,0
1537597323,11,0
1537597924,24,0
1537598523,21,0
1537599123,2,0
1537599723,39,1
1537600324,42,0
1537600923,20,0
1537601523,11,0
1537602123,20,0
1537602723,22,0
