DateTime,Entries,UniqueIPs
1537512724,491663,517150
1537513323,491694,517183
1537513925,491700,517190
1537514524,491712,517202
1537515124,491745,517240
1537515723,491768,517264
1537516924,491791,517291
1537517523,491804,517305
1537518125,491859,517361
1537519324,491867,517371
1537519924,491894,517400
1537520523,491925,517432
1537521124,491961,517469
1537521725,491977,517486
1537522923,491997,517508
1537523524,492025,517537
1537524124,492053,517568
1537524723,492076,517592
1537525323,492093,517610
1537525924,492114,517631
1537526523,492121,517638
1537527723,492150,517668
1537528324,492181,517699
1537528923,492207,517727
1537529523,492219,517740
1537530123,492227,517749
1537530723,492246,517768
1537531325,492261,517784
1537532523,492286,517811
1537533123,492304,517832
1537533724,492316,517843
1537534923,492335,517864
1537535523,492347,517876
1537536125,492368,517899
1537536723,492369,517900
1537537324,492375,517911
1537537924,492400,517939
1537538524,492416,517959
1537539124,492445,517990
1537539724,492469,518014
1537540323,492499,518045
1537540924,492503,518050
1537541523,492517,518066
1537542125,492542,518093
1537542723,492560,518111
1537543323,492576,518130
1537543923,492577,518131
1537544523,492587,518140
1537545123,492603,518157
1537545724,492619,518173
1537546325,492627,518181
1537546924,492650,518204
1537547524,492680,518235
1537548123,492689,518244
1537548723,492690,518245
1537549324,492700,518256
1537550524,492727,518283
1537551723,492758,518318
1537552323,492768,518327
1537552924,492774,518334
1537554123,492799,518362
1537555324,492817,518381
1537555923,492818,518382
1537556524,492842,518409
1537557724,492854,518422
1537558924,492873,518445
1537560123,492882,518456
1537560723,492884,518458
1537561323,492914,518489
1537562524,492941,518519
1537563124,492943,518521
1537563725,492975,518553
1537564323,492992,518573
1537564924,493010,518592
1537566123,493015,518597
1537566723,493036,518618
1537567323,493055,518639
1537568524,493083,518670
1537569723,493110,518701
1537570324,493118,518709
1537570924,493145,518736
1537571523,493160,518752
1537572124,493185,518778
1537572724,493192,518788
1537573324,493212,518810
1537573924,493238,518838
1537574527,493242,518842
1537575723,493255,518855
1537576923,493261,518865
1537577523,493279,518886
1537578124,493305,518914
1537579323,493337,518952
1537579923,493347,518962
1537580523,493358,518974
1537581124,493363,518981
1537581724,493392,519010
1537582324,493409,519028
1537582924,493444,519064
1537583523,493479,519101
1537584123,493508,519135
1537585323,493536,519164
1537585924,493545,519173
1537586523,493564,519192
1537587723,493574,519202
1537588325,493591,519224
1537588923,493601,519235
1537589525,493614,519249
1537590123,493619,519254
1537591323,493650,519287
1537592523,493666,519302
1537593723,493682,519318
1537594324,493697,519333
1537594924,493736,519373
1537595524,493770,519409
1537596123,493786,519425
1537597323,493794,519436
1537597924,493818,519460
1537598523,493838,519481
1537599123,493839,519483
1537599723,493878,519521
1537600324,493919,519563
1537600923,493938,519583
1537601523,493948,519594
1537602123,493965,519614
1537602723,493983,519636
1537603323,494007,519660
1537603923,494028,519681
1537604524,494045,519698
1537605123,494051,519704
1537605723,494058,519712
1537606323,494082,519741
1537606924,494111,519771
