DateTime,AddedIPs,RemovedIPs
1536902680,18,26
1536904585,15,40
1536906517,22,40
1536908441,24,44
1536910599,23,45
1536912525,22,42
1536914439,25,28
1536916348,16,31
1536918260,17,34
1536920198,23,1283
1536922096,30,20
1536924041,601,0
1536925941,25,15
1536928114,42,29
1536930056,43,39
1536931954,40,42
1536933865,27,34
1536935770,46,31
1536937724,26,21
1536939882,48,25
1536941791,41,31
1536943704,40,25
1536945617,38,32
1536947561,38,19
1536949457,39,11
1536951393,45,23
1536953318,21,29
1536955237,25,33
1536957146,20,23
1536959082,33,20
1536960997,41,22
1536962904,29,25
1536965320,26,24
1536967461,523,0
1536969386,28,19
1536971299,30,19
1536973240,37,31
1536975144,22,33
1536977080,28,31
1536978986,22,30
1536980927,27,17
1536982820,27,24
1536984743,17,26
1536986655,25,22
1536988595,29,28
1536990494,19,17
1536992659,25,15
1536994582,24,23
1536996501,9,27
1536998437,23,28
1537000348,20,21
1537002269,20,17
1537004186,21,21
1537006096,26,940
1537008030,29,29
1537009945,508,0
1537011863,29,4
1537013827,31,21
1537015962,20,13
1537017862,17,23
1537019784,29,40
1537021696,22,30
1537023638,20,21
1537025547,17,22
1537027515,21,33
1537029628,30,28
1537031559,21,15
1537033460,22,15
1537035402,27,24
1537037294,14,21
1537039240,28,22
1537041143,22,21
1537043072,17,25
1537044976,27,22
1537046930,23,13
1537048841,21,23
1537050761,14,19
1537052666,436,0
1537054609,24,6
1537056525,18,12
1537058439,13,13
1537060346,16,12
1537062275,14,28
1537064184,18,30
1537066098,15,23
1537068027,28,18
1537069946,17,22
1537071874,16,20
1537073774,17,31
1537075705,13,8
1537077642,33,19
1537079554,21,16
1537081468,13,21
1537083395,23,23
1537085328,17,21
1537087227,18,28
1537089148,20,17
1537091316,22,18
1537093244,23,1330
1537095140,25,30
1537097077,544,0
1537098986,27,23
1537100920,39,34
1537102831,38,39
1537104758,40,19
1537106668,42,31
1537108606,31,26
1537110518,49,28
1537112435,46,27
1537114390,34,18
1537116266,34,28
1537118195,39,31
1537120347,37,21
1537122251,35,18
1537124456,36,30
1537126343,13,12
1537128285,25,18
1537130172,22,23
1537132109,24,15
1537134016,22,25
1537136197,25,27
1537138108,31,20
1537140019,502,0
1537142176,16,21
1537144097,20,23
1537146048,16,36
1537147941,23,18
1537149858,31,26
1537152051,33,35
1537153945,22,18
1537155874,15,22
1537157785,13,18
1537159711,14,25
1537161625,12,27
1537163549,11,19
1537165463,28,16
1537167390,19,24
1537169292,19,11
1537171248,24,16
1537173154,30,18
1537175075,16,14
1537176982,25,20
1537178915,19,971
1537180823,55,27
1537182745,481,0
1537184657,38,16
