DateTime,AddedIPs,RemovedIPs
1537418707,618,589
1537419608,610,674
1537420508,565,1018
1537421408,738,517
1537422308,516,724
1537423209,531,695
1537424108,563,948
1537425009,415,644
1537425909,423,655
1537426809,350,605
1537427710,257,637
1537428608,392,653
1537429509,400,533
1537430410,327,328
1537431310,363,808
1537432209,308,81
1537433110,305,106
1537434009,287,230
1537434910,357,262
1537435809,566,1165
1537436709,312,508
1537437610,274,423
1537438512,438,308
1537439411,1211,111
1537440309,1267,63
1537441211,1035,694
1537442111,978,203
1537443010,898,215
1537443909,841,164
1537444810,758,115
1537445711,843,123
1537446611,943,98
1537447511,790,106
1537448412,877,79
1537449310,935,129
1537450211,987,79
1537451110,985,130
1537452010,1000,142
1537452911,1657,416
1537453811,1664,1535
1537454711,1470,1485
1537455611,1389,1171
1537456508,1237,1147
1537457410,1263,964
1537458309,1130,980
1537459210,979,977
1537460111,1121,1010
1537461010,1044,856
1537461911,804,890
1537462810,818,959
1537463711,792,894
1537464612,1025,1287
1537465511,834,1398
1537466409,776,1461
1537467311,594,1080
1537468208,636,1216
1537469110,586,989
1537470010,568,1009
1537470908,610,1037
1537471809,615,933
1537472709,530,896
1537473609,516,642
1537474507,448,978
1537475408,485,835
1537476309,496,867
1537477208,509,812
1537478109,438,953
1537479009,438,1250
1537479909,399,831
1537480808,499,969
1537481708,360,1062
1537482608,419,824
1537483508,838,1267
1537484408,923,1524
1537485309,917,1814
1537486208,967,1133
1537487109,986,978
1537488009,861,542
1537488910,811,657
1537489809,748,497
1537490710,939,660
1537491608,914,481
1537492509,979,383
1537493409,1121,580
1537494308,1046,491
1537495209,904,659
1537496110,870,547
1537497909,2032,2088
1537498810,959,752
1537499710,805,1049
1537500609,969,1024
1537501507,783,854
1537502410,781,1053
1537503310,809,1049
1537504209,1035,1081
1537505110,854,988
1537506010,823,879
1537506910,886,978
1537507810,792,945
1537508710,746,926
1537509612,790,961
1537510510,836,517
1537511411,764,781
1537512311,756,996
1537513212,659,873
1537514110,650,1219
1537515012,906,1164
1537515911,729,710
1537516810,810,898
1537517709,677,938
1537518610,710,560
1537519512,588,637
1537520411,658,579
1537521311,682,522
1537522213,763,458
1537523112,609,409
1537524011,626,382
1537524912,498,408
1537525810,591,367
1537526712,544,362
1537527611,670,501
1537528510,587,440
1537529411,692,537
1537530312,630,849
1537531210,690,608
1537532110,663,640
1537533011,780,812
1537533909,753,715
1537534810,709,880
1537535710,645,1031
1537536611,698,898
1537537511,796,1123
1537538410,736,827
1537539312,738,695
1537540211,862,975
1537541111,1321,746
1537542010,1139,690
1537542911,1050,843
1537543812,992,429
1537544710,900,473
1537545612,897,519
1537546508,844,627
1537547410,934,703
1537548312,788,342
1537549210,905,538
1537550110,827,542
1537551010,734,467
1537551912,802,888
1537552810,695,785
1537553711,768,728
1537554611,919,575
1537555511,844,900
