DateTime,Entries,UniqueIPs
1537418707,6267,6267
1537419608,6203,6203
1537420508,5750,5750
1537421408,5971,5971
1537422308,5763,5763
1537423209,5599,5599
1537424108,5214,5214
1537425009,4985,4985
1537425909,4753,4753
1537426809,4498,4498
1537427710,4118,4118
1537428608,3857,3857
1537429509,3724,3724
1537430410,3723,3723
1537431310,3278,3278
1537432209,3505,3505
1537433110,3704,3704
1537434009,3761,3761
1537434910,3856,3856
1537435809,3257,3257
1537436709,3061,3061
1537437610,2912,2912
1537438512,3042,3042
1537439411,4142,4142
1537440309,5346,5346
1537441211,5687,5687
1537442111,6462,6462
1537443010,7145,7145
1537443909,7822,7822
1537444810,8465,8465
1537445711,9185,9185
1537446611,10030,10030
1537447511,10714,10714
1537448412,11512,11512
1537449310,12318,12318
1537450211,13226,13226
1537451110,14081,14081
1537452010,14939,14939
1537452911,16180,16180
1537453811,16309,16309
1537454711,16294,16294
1537455611,16512,16512
1537456508,16602,16602
1537457410,16901,16901
1537458309,17051,17051
1537459210,17053,17053
1537460111,17164,17164
1537461010,17352,17352
1537461911,17266,17266
1537462810,17125,17125
1537463711,17023,17023
1537464612,16761,16761
1537465511,16197,16197
1537466409,15512,15512
1537467311,15026,15026
1537468208,14446,14446
1537469110,14043,14043
1537470010,13602,13602
1537470908,13175,13175
1537471809,12857,12857
1537472709,12491,12491
1537473609,12365,12365
1537474507,11835,11835
1537475408,11485,11485
1537476309,11114,11114
1537477208,10811,10811
1537478109,10296,10296
1537479009,9484,9484
1537479909,9052,9052
1537480808,8582,8582
1537481708,7880,7880
1537482608,7475,7475
1537483508,7046,7046
1537484408,6445,6445
1537485309,5548,5548
1537486208,5382,5382
1537487109,5390,5390
1537488009,5709,5709
1537488910,5863,5863
1537489809,6114,6114
1537490710,6393,6393
1537491608,6826,6826
1537492509,7422,7422
1537493409,7963,7963
1537494308,8518,8518
1537495209,8763,8763
1537496110,9086,9086
1537497909,9030,9030
1537498810,9237,9237
1537499710,8993,8993
1537500609,8938,8938
1537501507,8867,8867
1537502410,8595,8595
1537503310,8355,8355
1537504209,8309,8309
1537505110,8175,8175
1537506010,8119,8119
1537506910,8027,8027
1537507810,7874,7874
1537508710,7694,7694
1537509612,7523,7523
1537510510,7842,7842
1537511411,7825,7825
1537512311,7585,7585
1537513212,7371,7371
1537514110,6802,6802
1537515012,6544,6544
1537515911,6563,6563
1537516810,6475,6475
1537517709,6214,6214
1537518610,6364,6364
1537519512,6315,6315
1537520411,6394,6394
1537521311,6554,6554
1537522213,6859,6859
1537523112,7059,7059
1537524011,7303,7303
1537524912,7393,7393
1537525810,7617,7617
1537526712,7799,7799
1537527611,7968,7968
