DateTime,AddedIPs,RemovedIPs
1534183832,107,95
1534190432,61,47
1534197033,38,36
1534203631,30,18
1534208432,24,35
1534215032,69,0
1534222231,134,10
1534229433,71,40
1534234831,73,21
1534240832,29,0
1534246235,15,80
1534252252,26,0
1534259433,12,69
1534268476,12,224
1534276231,16,79
1534283443,29,0
1534290651,22,39
1534298450,35,160
1534305632,128,83
1534311631,58,49
1534319432,64,24
1534326631,29,7
1534333232,37,11
1534337432,110,48
1534351833,141,35
1534359632,52,57
1534366232,26,89
1534373433,28,56
1534380631,17,68
1534387831,21,0
1534394431,19,167
1534401632,19,39
1534405831,24,48
1534412434,51,0
1534417832,36,72
1534422631,41,55
1534428632,140,0
1534437632,69,194
1534446032,43,81
1534452635,21,57
1534459832,72,12
1534466446,61,0
1534473631,90,20
1534479633,50,25
1534486231,55,26
1534491632,12,17
1534497631,25,31
1534504233,19,61
1534509032,14,145
1534514432,10,0
1534521632,29,87
1534528238,81,76
1534534865,67,72
1534542633,45,103
1534549231,100,94
1534556432,77,63
1534563633,36,25
1534570832,19,9
1534578032,42,15
1534585231,71,16
1534592452,91,20
1534599654,85,15
1534606831,39,37
1534614032,25,49
1534621232,22,68
1534627832,7,75
1534633232,10,163
1534638631,17,35
1534644631,16,29
1534650032,30,25
1534657231,37,0
1534663832,36,70
1534669232,71,97
1534675832,121,101
1534683032,62,52
1534690232,18,12
1534695632,28,17
1534702252,48,36
1534708247,114,10
1534714832,62,12
1534722032,69,10
1534729232,27,22
1534737032,28,52
1534743632,37,113
1534750231,8,0
1534756232,11,66
1534763432,17,150
1534769432,23,33
1534775432,59,42
1534782032,37,0
1534789231,25,78
1534795844,141,130
1534802432,61,73
1534807832,30,11
1534813831,22,0
1534821632,40,44
1534828833,85,0
1534835431,86,16
1534843232,77,59
1534849833,46,31
1534857032,25,56
1534861832,15,70
1534867924,10,49
1534872632,9,0
1534879233,7,109
1534885832,20,39
1534892432,28,30
1534897833,26,41
1534903231,22,91
1534908632,20,0
1534913432,60,190
1534918832,102,0
1534924232,58,48
1534930232,34,28
1534934432,35,23
1534940432,27,0
1534945833,55,23
1534951233,84,26
1534956632,97,30
1534965038,90,63
1534972834,65,42
1534979452,30,13
1534987312,21,41
1534994433,10,25
1535001632,21,56
1535007633,20,91
1535013033,27,20
1535019033,25,6
1535026832,37,61
1535033433,32,44
1535041232,87,38
1535049632,41,100
1535055632,30,35
1535062832,30,15
1535068232,23,25
1535075435,38,21
1535083232,37,21
1535089231,59,26
1535097031,42,38
1535103632,26,33
1535109032,28,84
1535113231,10,0
1535118632,14,70
1535124632,12,155
1535129432,22,85
1535136033,16,0
1535142632,53,98
1535148089,29,49
1535153438,12,0
1535158832,79,131
1535164831,84,138
1535171432,37,0
1535176231,27,70
1535181632,35,0
1535187031,31,15
1535193033,21,17
1535198432,84,13
1535204433,45,13
1535211034,87,33
1535216432,70,56
1535221833,107,53
1535227843,25,0
1535235032,28,27
1535242231,0,158
1535250031,43,113
1535256632,7,0
1535262632,30,15
1535268632,28,57
1535274632,9,47
1535281832,84,86
1535286632,78,27
1535292632,34,56
1535307032,0,51
1535313633,60,27
1535319031,59,42
1535324435,40,0
1535329831,61,59
1535336452,50,0
1535342432,41,91
1535348432,18,0
1535353231,16,43
1535357432,35,41
1535364631,58,107
1535370032,20,70
1535377231,24,36
1535383832,49,0
1535389232,26,0
1535394632,11,101
1535400032,41,77
1535405431,86,0
1535410832,61,101
1535416232,35,0
1535422232,24,53
1535428832,16,37
1535434232,27,27
1535438432,25,0
1535445032,41,15
1535450432,30,58
1535455833,29,0
1535461232,54,46
1535466632,36,68
1535471432,18,23
1535477431,35,48
1535482232,56,82
1535488231,34,99
1535493033,26,36
1535498431,84,21
1535504432,45,43
1535510431,37,53
1535516432,28,30
1535521831,56,44
1535527232,66,58
1535533231,48,61
1535538031,33,50
1535544032,27,43
1535550032,16,17
1535556631,25,19
1535562032,40,30
1535567432,51,34
1535572231,20,17
1535577632,66,31
1535583632,56,19
1535590231,45,52
1535596231,30,45
1535601631,37,49
1535607032,176,60
1535611832,128,50
1535617833,131,32
1535623832,35,35
1535631039,34,17
1535637637,29,85
1535643032,48,54
1535648432,85,0
1535653832,63,40
1535659232,38,36
1535664633,25,98
1535669432,13,32
1535675431,16,0
1535682031,31,42
1535688632,59,41
1535694032,36,42
1535698832,37,27
1535704831,61,50
1535709632,33,43
1535715032,26,0
1535721052,45,62
1535727631,51,45
1535733632,40,66
1535739632,28,35
1535746234,38,39
1535753431,31,57
1535760032,35,25
1535765431,42,61
1535770831,77,90
1535776231,50,34
1535781632,44,42
1535787031,29,56
1535793032,10,22
1535797231,16,31
1535802632,26,48
1535809231,51,61
1535813432,51,26
1535818831,48,43
1535824832,51,0
1535830836,44,53
1535837454,51,60
1535842852,41,44
1535848233,37,33
1535853631,42,59
1535858431,30,22
1535864431,29,31
1535869831,29,17
1535874631,39,31
1535880633,32,13
