DateTime,Entries,UniqueIPs
1534183832,3358,3388
1534190432,3369,3402
1534197033,3370,3404
1534203631,3382,3416
1534208432,3371,3405
1534215032,3439,3474
1534222231,3560,3598
1534229433,3591,3629
1534234831,3643,3681
1534240832,3672,3710
1534246235,3610,3645
1534252252,3636,3671
1534259433,3580,3614
1534268476,3370,3402
1534276231,3307,3339
1534283443,3336,3368
1534290651,3317,3351
1534298450,3194,3226
1534305632,3237,3271
1534311631,3246,3280
1534319432,3287,3320
1534326631,3309,3342
1534333232,3335,3368
1534337432,3397,3430
1534351833,3502,3536
1534359632,3497,3531
1534366232,3435,3468
1534373433,3407,3440
1534380631,3357,3389
1534387831,3378,3410
1534394431,3234,3262
1534401632,3214,3242
1534405831,3190,3218
1534412434,3241,3269
1534417832,3204,3233
1534422631,3190,3219
1534428632,3328,3359
1534437632,3205,3234
1534446032,3167,3196
1534452635,3133,3160
1534459832,3194,3220
1534466446,3253,3281
1534473631,3321,3351
1534479633,3346,3376
1534486231,3373,3405
1534491632,3368,3400
1534497631,3363,3394
1534504233,3320,3352
1534509032,3192,3221
1534514432,3202,3231
1534521632,3144,3173
1534528238,3149,3178
1534534865,3144,3173
1534542633,3086,3115
1534549231,3092,3121
1534556432,3104,3135
1534563633,3115,3146
1534570832,3125,3156
1534578032,3152,3183
1534585231,3206,3238
1534592452,3277,3309
1534599654,3347,3379
1534606831,3350,3381
1534614032,3328,3357
1534621232,3283,3311
1534627832,3216,3243
1534633232,3064,3090
1534638631,3046,3072
1534644631,3034,3059
1534650032,3038,3064
1534657231,3075,3101
1534663832,3041,3067
1534669232,3018,3041
1534675832,3037,3061
1534683032,3046,3071
1534690232,3053,3077
1534695632,3064,3088
1534702252,3076,3100
1534708247,3181,3204
1534714832,3229,3254
1534722032,3288,3313
1534729232,3293,3318
1534737032,3269,3294
1534743632,3193,3218
1534750231,3201,3226
1534756232,3146,3171
1534763432,3013,3038
1534769432,3004,3028
1534775432,3021,3045
1534782032,3057,3082
1534789231,3004,3029
1534795844,3011,3040
1534802432,3001,3028
1534807832,3020,3047
1534813831,3042,3069
1534821632,3038,3065
1534828833,3123,3150
1534835431,3192,3220
1534843232,3209,3238
1534849833,3224,3253
1534857032,3193,3222
1534861832,3142,3167
1534867924,3104,3128
1534872632,3113,3137
1534879233,3012,3035
1534885832,2993,3016
1534892432,2991,3014
1534897833,2977,2999
1534903231,2910,2930
1534908632,2930,2950
1534913432,2801,2820
1534918832,2902,2922
1534924232,2910,2932
1534930232,2916,2938
1534934432,2929,2950
1534940432,2953,2977
1534945833,2983,3009
1534951233,3041,3067
1534956632,3108,3134
1534965038,3134,3161
1534972834,3157,3184
1534979452,3174,3201
1534987312,3154,3181
1534994433,3138,3166
1535001632,3102,3131
1535007633,3031,3060
1535013033,3037,3067
1535019033,3056,3086
1535026832,3033,3062
1535033433,3022,3050
1535041232,3071,3099
1535049632,3012,3040
1535055632,3007,3035
1535062832,3023,3050
1535068232,3022,3048
1535075435,3038,3065
1535083232,3053,3081
1535089231,3085,3114
1535097031,3090,3118
1535103632,3083,3111
1535109032,3027,3055
1535113231,3037,3065
1535118632,2983,3009
1535124632,2843,2866
1535129432,2781,2803
1535136033,2797,2819
1535142632,2751,2774
1535148089,2731,2754
1535153438,2743,2766
1535158832,2691,2714
1535164831,2635,2660
1535171432,2671,2697
1535176231,2630,2654
1535181632,2664,2689
1535187031,2679,2705
1535193033,2683,2709
1535198432,2754,2780
1535204433,2787,2812
1535211034,2839,2866
1535216432,2853,2880
1535221833,2905,2934
1535227843,2930,2959
1535235032,2929,2960
1535242231,2774,2802
1535250031,2704,2732
1535256632,2711,2739
1535262632,2726,2754
1535268632,2697,2725
1535274632,2660,2687
1535281832,2660,2685
1535286632,2709,2736
1535292632,2687,2714
1535307032,2636,2663
1535313633,2667,2696
1535319031,2682,2713
1535324435,2722,2753
1535329831,2724,2755
1535336452,2774,2805
1535342432,2727,2755
1535348432,2745,2773
1535353231,2718,2746
1535357432,2713,2740
1535364631,2666,2691
1535370032,2617,2641
1535377231,2604,2629
1535383832,2653,2678
1535389232,2679,2704
1535394632,2590,2614
1535400032,2555,2578
1535405431,2640,2664
1535410832,2601,2624
1535416232,2636,2659
1535422232,2607,2630
1535428832,2586,2609
1535434232,2588,2609
1535438432,2613,2634
1535445032,2639,2660
1535450432,2611,2632
1535455833,2640,2661
1535461232,2648,2669
1535466632,2616,2637
1535471432,2612,2632
1535477431,2600,2619
1535482232,2574,2593
1535488231,2510,2528
1535493033,2499,2518
1535498431,2562,2581
1535504432,2564,2583
1535510431,2547,2567
1535516432,2548,2565
1535521831,2560,2577
1535527232,2567,2585
1535533231,2553,2572
1535538031,2536,2555
1535544032,2520,2539
1535550032,2518,2538
1535556631,2523,2544
1535562032,2534,2554
1535567432,2551,2571
1535572231,2554,2574
1535577632,2588,2609
1535583632,2625,2646
1535590231,2618,2639
1535596231,2603,2624
1535601631,2591,2612
1535607032,2705,2728
1535611832,2783,2806
1535617833,2882,2905
1535623832,2883,2905
1535631039,2900,2922
1535637637,2845,2866
1535643032,2837,2860
1535648432,2922,2945
1535653832,2944,2968
1535659232,2944,2970
1535664633,2872,2897
1535669432,2853,2878
1535675431,2869,2894
1535682031,2855,2883
1535688632,2873,2901
1535694032,2868,2895
1535698832,2879,2905
1535704831,2889,2916
1535709632,2879,2906
1535715032,2905,2932
1535721052,2889,2915
1535727631,2896,2921
1535733632,2871,2895
1535739632,2865,2888
1535746234,2864,2887
1535753431,2839,2861
1535760032,2847,2871
1535765431,2829,2852
1535770831,2815,2839
1535776231,2832,2855
1535781632,2834,2857
1535787031,2805,2830
1535793032,2793,2818
1535797231,2778,2803
1535802632,2756,2781
1535809231,2746,2771
1535813432,2771,2796
1535818831,2776,2801
1535824832,2827,2852
1535830836,2816,2843
1535837454,2807,2834
1535842852,2805,2831
1535848233,2810,2835
1535853631,2794,2818
1535858431,2801,2826
1535864431,2800,2824
1535869831,2812,2836
1535874631,2820,2844
1535880633,2838,2863
1535886032,2880,2906
1535892036,3050,3080
1535898032,3060,3091
1535904032,3110,3142
1535910032,3085,3117
1535918432,3031,3064
1535925032,3045,3079
1535931632,3079,3113
1535938831,3135,3169
1535946633,3157,3189
1535953832,3192,3222
1535961035,3223,3253
1535968234,3176,3202
1535975431,3145,3169
1535981431,3165,3189
1535986832,3161,3186
1535992831,3175,3201
1536000631,3155,3182
1536007833,3111,3140
1536013832,3123,3151
1536019831,3114,3143
1536024632,3088,3116
1536030630,3116,3145
1536037231,3076,3101
1536043231,3050,3074
1536051036,3044,3068
1536057632,3059,3084
1536064832,3051,3076
1536069031,3087,3112
1536075633,3129,3155
1536082243,3096,3125
1536087632,3001,3029
1536093633,2982,3011
1536100233,3009,3038
1536106231,3020,3049
1536112832,3029,3059
1536118831,3049,3079
1536123632,3044,3074
1536129032,3041,3072
1536134439,3133,3165
1536142851,3123,3157
1536150032,3159,3193
1536156631,3163,3198
1536163232,3126,3159
1536168633,3121,3156
1536174632,3136,3172
1536183631,3173,3210
1536191432,3172,3206
1536198032,3229,3264
1536206431,3183,3217
1536213031,3159,3193
1536219631,3148,3181
1536226831,3093,3126
1536234031,3100,3134
1536240632,3122,3155
1536246038,3123,3157
1536251432,3129,3159
1536257432,3139,3168
1536264033,3125,3154
1536270632,3159,3188
1536277231,3093,3123
1536283831,3072,3102
1536289831,3041,3074
1536297633,2981,3013
1536304234,3049,3081
1536309031,3059,3092
1536315032,3079,3111
1536323432,3099,3130
1536328831,3104,3134
1536334832,3085,3114
1536342032,3089,3118
1536349233,3091,3120
1536357032,3045,3076
1536364231,3055,3087
1536370231,3036,3069
1536376232,3084,3117
1536383431,3097,3130
1536390032,3099,3132
1536396033,3083,3116
1536402634,3005,3037
1536407448,3036,3068
1536413432,3059,3092
1536418831,3080,3113
1536424232,3128,3162
1536429632,3150,3183
1536435632,3148,3181
1536441032,3217,3252
1536446432,3226,3260
1536453631,3238,3270
1536460831,3196,3227
1536468632,3139,3165
1536475231,3190,3217
1536483032,3182,3209
1536490833,3190,3217
1536496233,3665,3694
1536503433,3747,3782
1536510034,3794,3829
1536517836,3758,3792
1536525034,3728,3762
1536531634,3835,3869
1536540039,5725,5766
1536555042,6199,6245
1536566439,6308,6357
1536577241,6362,6410
1536589839,6345,6392
1536601240,6353,6400
1536613239,6294,6341
1536623440,6397,6448
1536634257,6288,6337
1536645640,6229,6281
1536657039,6162,6213
1536665440,6392,6447
1536676839,6512,6568
1536689439,6496,6551
1536702039,6446,6502
1536712838,6399,6454
1536724839,6401,6456
1536735039,6067,6120
1536746439,5936,5990
1536757239,5937,5994
1536768038,5856,5911
1536779438,5903,5957
1536791437,6131,6185
1536802836,6179,6232
1536814836,6217,6270
1536824437,6103,6157
1536835237,5999,6048
1536846037,5935,5984
1536855638,5632,5678
1536865237,5367,5411
1536874837,5457,5504
1536885036,5397,5445
1536894636,5347,5396
1536904837,5535,5586
1536913236,5686,5740
1536922838,5782,5836
1536932437,5802,5855
1536942038,5882,5935
1536952257,5726,5776
1536960042,5692,5741
1536968436,5748,5798
1536979236,5765,5816
1536988239,5604,5655
1536996639,5508,5561
1537006836,5505,5560
1537017636,5455,5509
1537027237,5490,5545
1537036237,5641,5697
1537045236,5698,5754
1537053040,6540,6609
1537065042,7161,7232
1537076442,7427,7500
1537087843,7329,7402
1537099843,7310,7383
1537113042,7154,7224
1537125043,6892,6958
1537137043,6866,6928
1537148442,6907,6970
1537159841,7070,7135
1537170642,7172,7239
1537183242,7364,7437
1537195243,7362,7436
1537208441,7325,7393
1537219242,7319,7385
1537230641,7247,7311
1537241442,6950,7010
1537252241,6888,6948
1537263041,6695,6756
1537275040,6623,6685
1537287641,6779,6842
1537299641,6852,6915
1537311641,7065,7126
1537323639,7115,7176
1537335640,7054,7114
1537347639,6840,6898
1537357241,6870,6930
1537368641,6515,6571
