DateTime,AddedIPs,RemovedIPs
1534183830,7,17
1534190430,4,7
1534197030,5,0
1534203629,6,8
1534208430,4,2
1534215030,6,6
1534222229,6,0
1534229431,6,17
1534234829,5,0
1534240830,4,3
1534246232,4,7
1534252250,8,7
1534259431,7,8
1534268474,7,13
1534276230,10,6
1534283435,6,0
1534290641,7,9
1534298442,7,14
1534305630,8,0
1534311629,7,13
1534319430,6,0
1534326629,5,17
1534333230,7,6
1534337430,3,6
1534351831,7,5
1534359630,4,13
1534366230,9,0
1534373431,8,8
1534380629,5,7
1534387830,6,5
1534394430,7,7
1534401630,4,7
1534405829,6,9
1534412432,7,4
1534417830,5,7
1534422629,6,8
1534428630,6,0
1534437630,7,13
1534446030,5,3
1534452633,6,7
1534459830,7,7
1534466444,9,0
1534473629,6,3
1534479631,7,5
1534486229,5,4
1534491630,7,6
1534497629,4,0
1534504231,7,15
1534509030,4,8
1534514430,7,0
1534521630,7,9
1534528236,8,6
1534534863,5,4
1534542631,6,0
1534549229,8,8
1534556430,6,0
1534563631,7,13
1534570830,5,7
1534578030,7,5
1534585229,6,5
1534592450,7,5
1534599652,10,8
1534606830,4,7
1534614030,4,8
1534621230,7,8
1534627831,8,1
1534633230,6,7
1534638629,4,7
1534644629,8,6
1534650030,11,0
1534657229,7,9
1534663830,6,14
1534669230,10,6
1534675830,9,5
1534683030,4,4
1534690230,8,6
1534695630,6,15
1534702250,9,0
1534708245,9,8
1534714830,7,7
1534722030,8,11
1534729230,4,8
1534737030,6,6
1534743630,7,7
1534750229,6,9
1534756230,5,4
1534763430,6,9
1534769430,7,8
1534775430,4,9
1534782030,6,6
1534789230,8,0
1534795842,7,14
1534802430,6,7
1534807830,7,8
1534813829,9,0
1534821630,6,15
1534828831,7,6
1534835429,5,7
1534843230,6,7
1534849831,7,5
1534857030,4,7
1534861830,5,8
1534867922,5,10
1534872630,4,0
1534879231,2,7
1534885830,9,8
1534892430,6,7
1534897831,7,7
1534903229,10,0
1534908631,11,6
1534913430,4,8
1534918830,5,10
1534924230,9,4
1534930231,5,8
1534934430,6,0
1534940430,6,8
1534945831,5,0
1534951231,6,5
1534956630,7,0
1534965036,6,10
1534972832,9,10
1534979450,5,5
1534987310,8,6
1534994431,4,6
1535001630,7,6
1535007631,2,7
1535013031,10,6
1535019030,7,7
1535026830,7,17
1535033431,5,0
1535041230,8,8
1535049631,7,8
1535055630,9,4
1535062830,8,6
1535068230,7,8
1535075433,7,7
1535083230,3,5
1535089230,3,8
1535097029,5,13
1535103631,7,5
1535109030,9,6
1535113229,7,0
1535118630,4,5
1535124631,7,8
1535129430,7,7
1535136031,8,8
1535142630,5,6
1535148071,5,2
1535153436,6,7
1535158830,6,0
1535164829,7,7
1535171430,6,7
1535176229,7,5
1535181631,9,7
1535187030,4,0
1535193031,5,6
1535198430,6,5
1535204431,5,8
1535211031,5,0
1535216431,10,7
1535221832,5,2
1535227838,7,5
1535235030,7,6
1535242230,0,4
1535250029,7,11
1535256630,4,7
1535262630,7,10
1535268630,8,3
1535274630,11,0
1535281830,5,15
1535286630,9,9
1535292631,6,0
1535307030,0,19
1535313631,4,22
1535319029,7,7
1535324433,8,0
1535329829,8,9
1535336450,5,5
1535342431,4,7
1535348430,8,5
1535353229,9,0
1535357430,6,6
1535364629,8,4
1535370030,6,5
1535377230,6,5
1535383830,5,4
1535389230,10,7
1535394630,6,9
1535400030,6,9
1535405430,10,0
1535410830,7,5
1535416230,5,7
1535422230,6,8
1535428830,8,0
1535434230,5,14
1535438430,6,6
1535445030,7,0
1535450430,6,8
1535455831,6,6
1535461230,6,6
1535466630,9,0
1535471430,6,7
1535477430,5,6
1535482230,6,9
1535488230,4,0
1535493031,6,9
1535498430,5,6
1535504430,4,4
1535510429,5,6
1535516430,6,7
1535521829,6,5
1535527230,6,3
1535533229,8,7
1535538030,7,5
1535544030,8,5
1535550030,3,6
1535556630,6,9
1535562030,6,20
1535567430,3,0
1535572230,6,7
1535577630,7,0
1535583630,7,8
1535590229,7,7
1535596229,6,4
1535601629,8,5
1535607031,8,7
1535611830,11,7
1535617831,8,0
1535623830,7,10
1535631037,7,6
1535637635,11,5
1535643030,10,6
1535648430,5,5
1535653830,5,0
1535659230,9,4
1535664631,6,7
1535669430,6,6
1535675429,5,7
1535682029,10,9
1535688630,7,3
1535694030,9,4
1535698830,8,0
1535704830,4,4
1535709630,5,9
1535715030,7,8
1535721050,7,8
1535727629,6,7
1535733630,7,7
1535739630,9,6
1535746233,7,5
1535753429,7,5
1535760030,4,13
1535765429,11,4
1535770829,7,6
1535776230,8,4
1535781630,8,5
1535787029,7,9
1535793030,7,4
1535797229,6,6
1535802630,9,0
1535809230,9,6
1535813429,7,11
1535818829,5,0
1535824831,3,8
1535830831,7,5
1535837452,5,8
1535842850,3,0
1535848231,11,7
1535853629,1,0
1535858429,6,4
1535864430,1,7
1535869830,7,7
1535874629,3,8
1535880631,5,7
1535886030,9,4
1535892034,6,0
1535898030,3,9
1535904030,8,0
1535910030,12,0
1535918430,7,11
1535925030,6,0
1535931630,11,13
1535938829,12,7
1535946631,5,12
1535953830,9,0
1535961033,8,17
1535968232,9,5
1535975429,5,5
1535981429,5,13
1535986830,6,0
1535992829,4,7
1536000629,9,7
1536007831,3,15
1536013831,8,8
1536019829,5,8
1536024630,8,6
1536030629,6,9
1536037229,5,4
1536043230,7,5
1536051035,6,13
1536057630,7,4
1536064830,6,3
1536069029,6,8
1536075631,9,7
1536082241,10,5
1536087630,6,11
1536093630,9,5
1536100230,4,9
1536106229,6,9
1536112830,3,8
1536118829,4,6
1536123630,4,5
1536129030,5,6
1536134437,9,6
1536142849,4,13
1536150030,7,6
1536156629,7,7
1536163230,4,6
1536168630,10,7
1536174630,4,7
1536183630,5,13
1536191430,7,7
1536198029,4,5
1536206429,8,15
1536213029,6,8
1536219630,8,7
1536226829,8,5
1536234029,6,6
1536240630,7,8
1536246036,5,7
1536251430,10,7
1536257430,5,3
1536264030,6,11
1536270630,6,12
1536277228,7,7
1536283829,9,7
1536289829,5,4
1536297630,7,19
1536304232,7,0
1536309029,7,13
1536315030,8,0
1536323430,6,12
1536328829,7,7
1536334830,7,5
1536342030,5,10
1536349230,8,9
1536357030,8,11
1536364230,5,0
1536370229,5,7
1536376230,8,7
1536383429,8,12
1536390030,7,2
1536396030,9,4
1536402630,5,6
1536407444,9,13
1536413429,6,0
1536418829,9,5
1536424230,5,16
1536429630,5,1
1536435630,7,0
1536441030,6,7
1536446429,8,0
1536453629,5,6
1536460829,6,13
1536468630,5,17
1536475229,10,0
1536483029,5,12
1536490830,4,5
1536496230,13,17
1536503430,6,0
1536510030,5,11
1536517832,9,8
1536525031,6,0
1536531631,15,15
1536540030,16,8
1536555032,13,14
1536566430,11,12
1536577231,4,6
1536589830,15,12
1536601232,21,15
1536613231,10,11
1536623431,12,6
1536634249,14,7
1536645631,9,14
1536657031,2,3
1536665431,19,12
1536676831,12,13
1536689431,7,19
1536702031,11,13
1536712831,14,10
1536724831,13,15
1536735031,6,16
1536746431,15,8
1536757231,14,12
1536768031,11,12
1536779431,11,12
1536791430,9,15
1536802830,12,14
1536814830,10,6
1536824430,4,19
1536835230,11,6
1536846030,7,14
1536855631,10,9
1536865230,9,15
1536874831,8,13
1536885030,8,7
1536894630,9,15
1536904830,12,0
1536913230,9,18
1536922831,8,16
1536932430,11,9
1536942031,7,19
1536952250,9,8
1536960036,10,11
1536968429,8,18
1536979230,12,9
1536988232,7,14
1536996632,10,10
1537006829,10,9
1537017630,7,18
1537027230,8,17
1537036230,7,16
1537045230,10,11
1537053030,19,8
1537065031,15,25
1537076430,12,0
1537087831,6,15
1537099832,8,15
1537113031,9,20
1537125032,11,22
1537137031,7,14
1537148430,15,15
1537159830,11,12
1537170632,9,0
1537183230,11,14
1537195232,11,19
1537208430,9,8
1537219231,12,8
1537230630,8,11
