DateTime,AddedIPs,RemovedIPs
1534167630,23,22
1534174830,26,25
1534183830,24,25
1534190430,20,20
1534197030,20,21
1534203629,18,22
1534208430,23,18
1534215030,20,21
1534222229,20,22
1534229431,24,21
1534234829,21,24
1534240830,23,22
1534246232,21,21
1534252250,21,22
1534259431,27,23
1534268474,24,26
1534276230,21,20
1534283435,22,23
1534290641,22,23
1534298442,24,24
1534305630,23,22
1534311629,21,19
1534319430,20,24
1534326629,14,13
1534333230,16,15
1534337430,21,24
1534351831,26,22
1534359630,19,25
1534366230,24,17
1534373431,22,24
1534380629,21,22
1534387830,20,19
1534394430,20,21
1534401630,21,20
1534405829,21,22
1534412432,17,16
1534417830,25,25
1534422629,24,24
1534428630,23,25
1534437630,23,21
1534446030,20,22
1534452633,20,18
1534459830,24,23
1534466444,20,20
1534473629,23,23
1534479631,20,22
1534486229,23,21
1534491630,21,22
1534497629,20,22
1534504231,20,18
1534509030,22,22
1534514430,18,19
1534521630,17,16
1534528236,18,18
1534534863,22,24
1534542631,21,20
1534549229,24,22
1534556430,19,20
1534563631,22,25
1534570830,19,18
1534578030,18,16
1534585229,20,21
1534592450,24,23
1534599652,21,20
1534606830,16,20
1534614030,18,19
1534621230,21,18
1534627831,25,24
1534633230,24,25
1534638629,20,22
1534644629,23,20
1534650030,21,21
1534657229,20,20
1534663830,21,20
1534669230,22,23
1534675830,20,21
1534683030,25,22
1534690230,24,24
1534695630,23,25
1534702250,21,21
1534708245,23,22
1534714830,20,21
1534722030,20,20
1534729230,23,25
1534737030,21,20
1534743630,18,17
1534750229,22,22
1534756230,19,21
1534763430,23,22
1534769430,23,23
1534775430,21,22
1534782030,22,20
1534789230,23,21
1534795842,18,18
1534802430,20,23
1534807830,22,21
1534813829,23,22
1534821630,24,23
1534828831,19,20
1534835429,15,15
1534843230,21,23
1534849831,19,18
1534857030,15,18
1534861830,17,16
1534867922,22,20
1534872630,22,23
1534879231,15,18
1534885830,21,16
1534892430,19,21
1534897831,21,21
1534903229,27,24
1534908631,23,24
1534913430,23,24
1534918830,21,22
1534924230,19,17
1534930231,10,12
1534934430,22,23
1534940430,20,18
1534945831,23,22
1534951231,23,23
1534956630,20,20
