DateTime,AddedIPs,RemovedIPs
1537260249,0,1
1537262167,1,1
1537263130,1,0
1537266965,0,1
1537268887,1,0
1537275125,0,1
1537275851,1,0
1537281847,0,1
1537282815,1,0
1537290011,0,1
1537290972,1,0
1537294812,0,1
1537295764,1,0
1537303929,1,0
1537304423,0,1
1537305846,1,0
1537317605,0,1
1537318566,1,0
1537319051,0,7
1537319526,11,9
1537320005,8,5
1537320490,7,8
1537320965,9,8
1537321447,10,10
1537321929,10,6
1537322409,5,11
1537322887,9,6
1537323365,6,6
1537323845,5,3
1537324333,8,12
1537324818,9,6
1537325285,6,6
1537325769,7,10
1537326246,8,7
1537326726,9,7
1537327205,7,7
1537327689,8,6
1537328165,6,5
1537328650,5,8
1537329124,6,9
1537329619,11,6
1537330085,4,7
1537330565,10,7
1537331046,3,6
1537331526,7,8
1537332009,10,9
1537332487,9,6
1537332965,7,6
1537333450,5,7
1537333925,9,10
1537334407,10,5
1537334888,8,7
1537335364,7,8
1537335845,8,11
1537336330,21,16
1537336813,8,4
1537337287,8,5
1537337769,4,4
1537338245,8,8
1537338731,5,5
1537339209,5,7
1537339684,8,8
1537340179,9,10
1537340648,6,7
1537341366,10,9
1537341848,8,6
1537342329,6,4
1537342805,3,5
1537343286,5,5
1537343764,4,4
1537344246,6,6
1537344726,7,7
1537345209,7,5
1537345929,4,3
1537346406,1,0
1537348805,0,1
1537349289,1,0
1537351687,0,1
1537352170,1,0
1537355527,0,1
1537356006,1,0
1537363690,0,1
1537364165,1,0
1537371606,0,1
1537372567,1,0
1537381205,0,1
1537382164,1,0
1537388408,0,1
1537389369,1,0
1537394648,0,1
1537395128,1,0
1537400406,0,1
1537401368,1,0
1537405686,1,9
1537406166,7,7
1537406646,10,10
1537407129,9,8
1537407614,9,7
1537408088,7,10
1537408576,5,8
1537409050,7,5
1537409528,7,11
1537410006,10,6
1537410491,6,7
1537410966,11,10
1537411447,6,7
1537411928,8,12
1537412420,7,8
1537412886,7,4
1537413366,9,14
1537413845,10,7
1537414327,12,7
1537415300,6,7
1537415766,6,6
1537416256,6,4
1537416728,3,7
1537417210,9,9
1537417687,7,7
1537418167,11,8
1537418645,4,7
1537419130,8,5
1537419646,5,6
1537420087,5,5
1537420569,6,6
1537421048,6,8
1537421527,7,9
1537422005,9,7
1537422491,9,7
1537422966,15,15
1537423448,9,6
1537423931,5,7
1537424411,6,11
1537424885,13,8
1537425368,6,7
1537425853,5,5
1537426326,11,9
1537426827,9,6
1537427289,8,7
1537427778,7,9
1537428247,7,5
1537428728,5,5
1537429204,6,5
1537429690,6,5
1537430169,3,5
1537430648,10,12
1537431371,8,9
1537431846,7,1
1537432327,1,0
1537432809,0,1
1537435206,1,0
1537440005,0,1
1537440966,1,0
1537447210,0,1
1537448168,1,0
1537452971,0,1
1537453449,1,0
1537457770,0,2
1537458246,1,0
1537458728,0,1
1537459690,1,0
1537460166,1,0
1537461605,0,1
1537463529,1,0
1537466885,0,1
1537467370,1,0
1537473652,0,1
1537474566,1,0
1537476490,0,1
1537476967,1,0
1537479364,0,1
1537480325,1,0
1537491850,0,1
1537492336,2,12
1537492805,8,8
1537493299,11,11
1537493767,12,7
1537494247,4,9
1537494730,9,9
1537495223,5,4
1537495686,6,9
1537496170,8,8
1537496645,11,10
1537497613,11,9
1537498092,5,8
1537498564,6,7
1537499045,10,5
1537499525,4,3
1537500017,5,6
1537500484,6,5
1537500964,10,10
1537501450,5,7
1537501986,7,9
1537502419,8,8
1537502948,7,7
1537503366,11,5
1537503846,2,3
1537504329,4,8
1537504805,7,5
1537505286,5,4
1537505776,8,12
1537506246,9,5
1537506736,6,7
1537507207,6,5
1537507691,5,6
1537508167,6,7
1537508645,8,8
1537509130,8,8
1537509627,15,15
1537510088,5,9
1537510571,7,6
1537511050,7,4
1537511528,7,8
1537512006,7,3
1537512502,3,4
1537512972,7,13
1537513447,10,7
1537513929,7,7
1537514406,6,6
1537514887,4,6
1537515366,6,7
1537515852,6,6
1537516330,4,7
1537516813,7,6
1537517290,10,10
1537517766,9,7
1537518249,5,3
1537518730,3,3
1537519215,1,0
1537527625,0,1
1537529045,1,0
1537540086,0,1
1537540568,1,0
1537552567,0,1
1537554005,1,0
1537566966,0,1
1537568405,0,1
1537569127,1,0
1537569848,1,0
1537578246,0,6
1537578725,9,9
1537579207,11,12
1537579930,10,9
1537580889,9,11
1537581364,8,5
1537581847,6,9
1537582325,10,14
1537582811,15,6
1537583286,4,8
1537583767,12,11
1537584250,5,5
1537584725,7,6
1537585214,8,8
1537585687,7,4
1537586166,4,6
1537586644,7,7
1537587129,9,10
1537587611,8,8
1537588329,7,6
1537589046,8,7
1537589529,5,6
1537590009,6,7
1537590485,4,5
1537590965,5,8
1537591449,7,9
1537591924,9,2
1537592418,4,8
1537592885,8,3
1537593366,3,3
1537593845,4,8
1537594330,9,8
1537594805,5,7
1537595288,10,10
1537595764,14,11
1537596248,4,6
1537596724,5,6
1537597212,6,5
1537597686,7,6
1537598166,5,6
1537598651,5,5
1537599128,7,20
1537599616,20,8
1537600094,10,7
1537600566,7,7
1537601046,6,8
1537601529,9,5
1537602008,5,4
1537602487,5,10
1537602967,8,6
1537603447,8,6
1537603929,6,7
1537604409,5,9
1537604888,8,6
1537605368,4,1
1537610165,0,1
1537611608,1,0
1537621685,0,1
1537623609,1,0
1537633208,0,1
1537634169,1,0
1537645208,0,1
1537646647,0,1
1537647609,2,0
1537664887,1,11
1537665367,9,7
1537665846,8,6
1537666329,7,9
1537666807,6,8
1537667286,10,4
1537667766,5,6
1537668246,5,7
1537668728,8,9
1537669214,12,9
1537669686,7,7
1537670166,8,10
1537670651,9,7
1537671126,6,8
1537671614,8,7
1537672091,6,7
1537672565,9,10
1537673048,6,6
1537673529,8,8
1537674010,7,6
1537674486,7,5
1537674965,8,7
1537675451,7,6
