DateTime,Entries,UniqueIPs
1537260249,4942,4942
1537262167,4942,4942
1537263130,4943,4943
1537266965,4942,4942
1537268887,4943,4943
1537275125,4942,4942
1537275851,4943,4943
1537281847,4942,4942
1537282815,4943,4943
1537290011,4942,4942
1537290972,4943,4943
1537294812,4942,4942
1537295764,4943,4943
1537303929,4944,4944
1537304423,4943,4943
1537305846,4944,4944
1537317605,4943,4943
1537318566,4944,4944
1537319051,4937,4937
1537319526,4939,4939
1537320005,4942,4942
1537320490,4941,4941
1537320965,4942,4942
1537321447,4942,4942
1537321929,4946,4946
1537322409,4940,4940
1537322887,4943,4943
1537323365,4943,4943
1537323845,4945,4945
1537324333,4941,4941
1537324818,4944,4944
1537325285,4944,4944
1537325769,4941,4941
1537326246,4942,4942
1537326726,4944,4944
1537327205,4944,4944
1537327689,4946,4946
1537328165,4947,4947
1537328650,4944,4944
1537329124,4941,4941
1537329619,4946,4946
1537330085,4943,4943
1537330565,4946,4946
1537331046,4943,4943
1537331526,4942,4942
1537332009,4943,4943
1537332487,4946,4946
1537332965,4947,4947
1537333450,4945,4945
1537333925,4944,4944
1537334407,4949,4949
1537334888,4950,4950
1537335364,4949,4949
1537335845,4946,4946
1537336330,4951,4951
1537336813,4955,4955
1537337287,4958,4958
1537337769,4958,4958
1537338245,4958,4958
1537338731,4958,4958
1537339209,4956,4956
1537339684,4956,4956
1537340179,4955,4955
1537340648,4954,4954
1537341366,4955,4955
1537341848,4957,4957
1537342329,4959,4959
1537342805,4957,4957
1537343286,4957,4957
1537343764,4957,4957
1537344246,4957,4957
1537344726,4957,4957
1537345209,4959,4959
1537345929,4960,4960
1537346406,4961,4961
1537348805,4960,4960
1537349289,4961,4961
1537351687,4960,4960
1537352170,4961,4961
1537355527,4960,4960
1537356006,4961,4961
1537363690,4960,4960
1537364165,4961,4961
1537371606,4960,4960
1537372567,4961,4961
1537381205,4960,4960
1537382164,4961,4961
1537388408,4960,4960
1537389369,4961,4961
1537394648,4960,4960
1537395128,4961,4961
1537400406,4960,4960
