DateTime,AddedIPs,RemovedIPs
1537491125,13,40
1537491723,25,0
1537492923,14,35
1537493523,18,43
1537494123,6,63
1537495323,12,76
1537495924,44,0
1537496525,30,48
1537497123,30,0
1537497723,19,48
1537498924,22,10
1537500124,12,74
1537501324,23,59
1537501923,20,42
1537502523,15,39
1537503724,15,58
1537504923,36,34
1537505525,16,75
1537506123,55,55
1537506726,19,59
1537507323,3,19
1537507923,16,0
1537508524,38,79
1537509123,37,0
1537509723,44,77
1537510324,14,7
1537510923,34,75
1537511524,30,28
1537512123,36,4
1537512724,17,0
1537513323,35,69
1537513925,16,0
1537514524,14,59
1537515124,41,0
1537515723,27,31
1537516924,31,65
1537517523,16,0
1537518125,21,26
1537519324,11,17
1537519924,37,30
1537520523,33,0
1537521124,42,81
1537521725,16,22
1537522923,15,90
1537523524,34,51
1537524124,35,69
1537524723,25,0
1537525323,26,60
1537525924,31,0
1537526523,12,37
1537527723,35,11
1537528324,38,20
1537528923,29,0
1537529523,21,47
1537530123,11,11
1537530723,20,32
1537531325,19,24
1537532523,34,60
1537533123,27,0
1537533724,13,37
1537534923,28,38
1537535523,18,0
1537536125,22,0
1537537324,12,128
1537537924,28,34
1537538524,20,59
1537539124,31,0
1537539724,21,0
1537540323,10,29
1537540924,3,0
1537541523,24,63
1537542125,29,68
1537542723,16,23
1537543323,23,31
1537544523,11,47
1537545123,20,55
1537545724,16,0
1537546325,5,75
1537546924,20,24
1537547524,31,0
1537548123,12,65
1537549324,10,39
1537550524,27,67
1537551723,32,26
1537552323,11,102
1537552924,7,30
1537554123,33,0
1537555324,17,115
1537556524,26,109
1537557724,8,0
1537558924,25,24
1537560123,13,53
1537561323,34,29
1537562524,28,17
1537563725,31,62
1537564323,21,12
1537564924,23,31
1537566123,10,101
1537566723,23,0
1537567323,20,25
1537568524,31,71
1537569723,32,97
1537570324,14,62
1537570924,28,0
1537571523,19,93
1537572124,28,23
1537572724,11,0
1537573324,23,20
1537573924,30,0
1537574527,2,0
1537575723,16,19
1537576923,11,80
1537577523,23,7
1537578124,26,0
1537579323,31,76
1537579923,15,30
1537580523,17,16
1537581124,7,0
1537581724,31,70
1537582324,18,0
1537582924,35,24
1537583523,42,0
1537584123,36,64
1537585323,12,39
1537585924,10,40
1537586523,19,28
1537587723,10,64
1537588325,28,41
1537588923,11,0
1537589525,13,61
1537590123,5,0
1537591323,35,87
1537592523,17,23
1537593723,19,11
1537594324,18,0
1537594924,46,10
1537595524,40,61
1537596123,23,40
1537597323,14,42
1537597924,29,0
1537598523,24,27
1537599723,20,34
1537600324,30,0
1537600923,23,0
1537601523,11,45
1537602123,14,0
1537602723,23,7
1537603323,29,19
1537603923,23,0
1537604524,18,0
1537605123,5,62
1537605723,9,111
1537606323,31,0
1537606924,30,124
1537607524,27,0
1537608123,11,0
1537609324,10,72
1537610523,28,40
1537611723,18,31
1537612323,22,0
1537612924,8,34
1537614124,34,91
1537614724,19,0
1537615324,16,25
1537615924,9,0
1537616523,32,155
1537617123,13,28
1537617724,40,0
1537618924,21,29
1537619524,13,23
1537620123,10,26
1537621324,37,12
1537621924,39,0
1537622524,34,0
1537623723,9,35
1537624323,10,0
1537624923,43,54
1537626123,39,0
1537626723,46,37
1537627323,46,0
1537628524,11,52
1537629124,10,18
1537629725,24,21
1537630924,23,62
1537631523,54,0
1537632123,16,28
1537633324,12,25
1537633923,15,22
1537634524,15,32
1537635725,12,27
1537636324,12,0
1537636924,26,23
1537637524,28,19
1537638124,28,55
1537638723,23,29
1537639323,11,0
1537639924,22,58
1537640524,19,48
1537641124,17,15
1537641723,9,23
1537642924,35,0
1537643524,36,50
1537644124,9,0
1537645323,6,63
1537646524,27,25
1537647123,17,0
1537647723,15,33
1537648924,19,57
1537650123,29,60
1537650724,12,40
1537651323,37,33
1537651923,26,20
1537652524,25,0
1537653724,13,62
1537654923,11,0
1537656123,25,63
1537656723,20,30
1537657324,27,0
1537657923,23,7
1537658523,63,104
1537659123,14,0
1537659724,30,38
1537660323,15,0
1537660925,4,16
1537662124,36,20
1537662724,33,9
1537663324,30,0
1537664523,8,44
1537665123,27,29
1537665723,36,42
1537666323,21,43
1537666924,22,0
1537667524,30,103
1537668124,23,0
1537668723,33,46
1537669323,20,129
1537669923,21,40
1537670524,23,0
1537671723,29,154
1537672323,15,32
1537672923,24,39
1537673523,24,0
1537674124,17,25
1537674723,12,0
1537675323,35,49
1537675923,33,20
1537676523,19,58
1537677123,27,10
1537677723,18,82
1537678924,17,18
1537679524,24,44
1537680123,9,45
1537680724,32,0
1537681323,27,61
1537681923,22,37
1537682523,16,0
1537683723,23,21
1537684325,16,54
1537684923,50,27
1537685524,56,0
1537686123,33,0
1537686724,46,0
1537687324,41,45
1537688524,43,70
1537689123,37,0
1537689724,40,0
1537690923,26,48
1537691523,10,86
1537692124,31,49
1537692723,23,0
1537693324,26,58
1537693924,33,0
1537694524,17,23
1537695723,15,51
1537696323,11,35
1537696924,21,0
1537698123,27,67
1537699323,17,70
1537700523,23,23
1537701123,23,0
1537701724,28,0
1537702923,6,69
1537704124,26,105
1537704724,22,0
1537705324,34,0
1537705923,15,77
1537706524,22,78
1537707723,15,75
1537708325,11,0
1537708924,10,0
1537710124,27,55
1537710723,23,27
1537711323,20,48
1537712524,14,0
1537713723,34,79
1537714923,25,15
1537715523,24,27
1537716123,6,18
1537716723,5,0
1537717323,11,18
1537717923,16,0
1537718524,18,67
1537719724,8,49
1537720323,14,72
1537720924,29,0
1537722124,7,135
1537722724,9,74
1537723323,14,56
1537723923,20,0
1537724523,31,0
1537725123,15,72
1537725724,20,42
1537726923,15,17
1537728123,20,56
1537729324,20,0
1537729925,26,57
1537730523,36,58
1537731124,18,23
1537731723,31,82
1537732924,22,69
1537733524,26,16
1537734123,26,59
1537735323,11,0
1537735923,12,71
1537736523,24,0
1537737724,20,8
1537738324,28,3
1537738923,19,1
1537740124,25,0
1537740723,24,33
1537741323,21,0
1537742523,35,19
1537743724,10,26
1537744924,23,25
1537745524,30,9
1537746124,10,35
1537746724,21,74
1537747325,9,70
1537747923,19,0
1537748523,54,19
1537749725,7,90
1537750324,26,8
1537750923,23,48
1537752123,23,0
1537753324,20,111
1537754523,24,70
