DateTime,AddedIPs,RemovedIPs
1537491125,80,80
1537491723,80,80
1537492923,80,80
1537493523,80,80
1537494123,80,80
1537495323,80,80
1537495924,80,80
1537496525,79,79
1537497123,80,80
1537497723,80,80
1537498924,80,80
1537500124,80,80
1537501324,80,80
1537501923,80,80
1537502523,80,80
1537503724,80,80
1537504923,80,80
1537505525,80,80
1537506123,80,80
1537506726,79,79
1537507323,80,80
1537507923,80,80
1537508524,80,80
1537509123,80,80
1537509723,80,80
1537510324,80,80
1537510923,80,80
1537511524,80,80
1537512123,80,80
1537512724,80,80
1537513323,80,80
1537513925,80,80
1537514524,80,80
1537515124,80,80
1537515723,80,80
1537516924,80,80
1537517523,80,80
1537518125,80,80
1537519324,80,80
1537519924,80,80
1537520523,80,80
1537521124,80,80
1537521725,80,80
1537522923,80,80
1537523524,80,80
1537524124,80,80
1537524723,79,79
1537525323,80,80
1537525924,80,80
1537526523,79,79
1537527723,79,79
1537528324,79,79
1537528923,79,79
1537529523,79,79
1537530123,79,79
1537530723,76,76
1537531325,80,80
1537532523,80,80
1537533123,80,80
1537533724,80,80
1537534923,80,80
1537535523,80,80
1537536125,80,80
1537537324,80,80
1537537924,80,80
1537538524,80,80
1537539124,80,80
1537539724,80,80
1537540323,80,80
1537540924,80,80
1537541523,80,80
1537542125,79,79
1537542723,78,78
1537543323,79,79
1537544523,80,80
1537545123,80,80
1537545724,80,80
1537546325,80,80
1537546924,80,80
1537547524,79,79
1537548123,80,80
1537549324,80,80
1537550524,80,80
1537551723,80,80
1537552323,80,80
1537552924,80,80
1537554123,80,80
1537555324,79,79
1537556524,80,80
1537557724,80,80
1537558924,80,80
1537560123,80,80
1537561323,80,80
1537562524,80,80
1537563725,80,80
1537564323,80,80
1537564924,80,80
1537566123,80,80
1537566723,79,79
1537567323,80,80
1537568524,80,80
1537569723,80,80
1537570324,79,79
1537570924,80,80
1537571523,80,80
1537572124,80,80
1537572724,80,80
1537573324,80,80
1537573924,80,80
1537574527,80,80
1537575723,80,80
1537576923,80,80
1537577523,80,80
1537578124,79,79
1537579323,80,80
1537579923,80,80
1537580523,80,80
1537581124,80,80
1537581724,79,79
1537582324,78,78
1537582924,80,80
1537583523,80,80
1537584123,80,80
1537585323,80,80
1537585924,80,80
1537586523,80,80
1537587723,80,80
1537588325,80,80
1537588923,80,80
1537589525,80,80
1537590123,80,80
1537591323,79,79
1537592523,80,80
1537593723,78,78
1537594324,80,80
1537594924,80,80
1537595524,80,80
1537596123,80,80
1537597323,80,80
1537597924,80,80
1537598523,80,80
1537599723,80,80
1537600324,80,80
1537600923,80,80
1537601523,79,79
1537602123,80,80
1537602723,80,80
1537603323,80,80
1537603923,80,80
1537604524,80,80
1537605123,79,79
1537605723,80,80
1537606323,80,80
1537606924,80,80
1537607524,80,80
1537608123,80,80
1537609324,80,80
1537610523,80,80
1537611723,80,80
1537612323,80,80
1537612924,80,80
1537614124,80,80
1537614724,80,80
1537615324,79,79
1537615924,79,79
1537616523,80,80
1537617123,79,79
1537617724,79,79
1537618924,80,80
1537619524,80,80
1537620123,80,80
1537621324,80,80
1537621924,80,80
1537622524,80,80
1537623723,80,80
1537624323,80,80
1537624923,80,80
1537626123,80,80
1537626723,80,80
1537627323,80,80
1537628524,80,80
1537629124,80,80
1537629725,80,80
1537630924,80,80
1537631523,79,79
1537632123,80,80
1537633324,80,80
1537633923,80,80
1537634524,80,80
1537635725,80,80
1537636324,80,80
1537636924,80,80
1537637524,78,78
1537638124,80,80
1537638723,80,80
1537639323,80,80
1537639924,79,79
1537640524,78,78
1537641124,80,80
1537641723,80,80
1537642924,80,80
1537643524,80,80
1537644124,80,80
1537645323,80,80
1537646524,79,79
1537647123,79,79
1537647723,80,80
1537648924,80,80
1537650123,80,80
1537650724,80,80
1537651323,80,80
1537651923,80,80
1537652524,79,79
1537653724,80,80
1537654923,80,80
1537656123,80,80
1537656723,79,79
1537657324,80,80
1537657923,80,80
1537658523,80,80
1537659123,79,79
1537659724,80,80
1537660323,80,80
1537660925,80,80
1537662124,80,80
1537662724,80,80
1537663324,80,80
1537664523,80,80
1537665123,80,80
1537665723,79,79
1537666323,80,80
1537666924,79,79
1537667524,80,80
1537668124,79,79
1537668723,80,80
1537669323,80,80
1537669923,80,80
1537670524,79,79
1537671723,80,80
1537672323,79,79
1537672923,79,79
1537673523,80,80
1537674124,80,80
1537674723,80,80
1537675323,80,80
1537675923,79,79
1537676523,80,80
1537677123,80,80
1537677723,80,80
1537678924,80,80
1537679524,80,80
1537680123,80,80
1537680724,80,80
1537681323,80,80
1537681923,80,80
1537682523,80,80
1537683723,80,80
1537684325,80,80
1537684923,80,80
1537685524,78,78
1537686123,80,80
1537686724,80,80
1537687324,80,80
1537688524,80,80
1537689123,80,80
1537689724,79,79
1537690923,80,80
1537691523,80,80
1537692124,80,80
1537692723,80,80
1537693324,80,80
1537693924,80,80
1537694524,80,80
1537695723,80,80
1537696323,80,80
1537696924,79,79
1537698123,80,80
1537699323,80,80
1537700523,80,80
1537701123,80,80
1537701724,80,80
1537702923,80,80
1537704124,80,80
1537704724,80,80
1537705324,80,80
1537705923,79,79
1537706524,79,79
1537707723,80,80
1537708325,79,79
1537708924,80,80
1537710124,80,80
1537710723,80,80
1537711323,80,80
1537712524,80,80
1537713723,80,80
1537714923,80,80
1537715523,80,80
1537716123,79,79
1537716723,79,79
1537717323,79,79
1537717923,80,80
