DateTime,AddedIPs,RemovedIPs
1537483323,7,3
1537483924,31,1
1537484524,6,0
1537485123,4,2
1537485723,6,13
1537486324,9,0
1537486924,3,13
1537487524,4,0
1537488124,2,0
1537488724,1,9
1537489323,1,16
1537490523,4,3
1537491124,20,4
1537491723,16,0
1537492324,9,1
1537492923,9,1
1537493523,13,6
1537494123,7,2
1537494723,2,0
1537495323,2,8
1537496525,1,4
1537497123,1,0
1537497723,3,15
1537498924,12,11
1537499524,4,0
1537500123,3,3
1537501324,27,13
1537501923,18,0
1537502523,3,2
1537503123,12,0
1537503723,2,1
1537504923,6,0
1537505524,3,0
1537506123,2,14
1537506726,1,0
1537507323,11,3
1537507923,4,0
1537508524,1,13
1537509123,1,0
1537509723,3,0
1537510324,3,8
1537510923,3,0
1537511524,15,2
1537512123,19,8
1537512723,9,0
1537513323,6,6
1537514523,6,5
1537515123,6,0
1537515723,12,1
1537516924,15,1
1537517523,3,26
1537518124,1,9
1537519324,4,0
1537519924,1,23
1537520523,1,0
1537521123,0,12
1537521724,16,0
1537522923,24,5
1537523523,3,0
1537524124,5,7
1537525323,0,20
1537525924,5,0
1537526523,2,2
1537527723,2,3
1537528323,2,0
1537528923,3,0
1537530123,8,6
1537530723,2,8
1537532523,2,0
1537533123,3,6
1537533724,0,10
1537535523,0,5
1537536124,11,8
1537536723,5,0
1537537323,7,15
1537537923,7,0
1537538524,6,0
1537539123,5,10
1537539724,5,0
1537540323,39,17
1537540924,6,14
1537541523,3,0
1537542125,1,0
1537542723,7,16
1537543923,6,2
1537544523,0,4
1537545123,3,2
1537545723,1,13
1537546324,12,0
1537546924,10,17
1537547523,5,0
1537548123,2,7
1537548723,6,17
1537549324,4,0
1537550523,5,8
1537551723,10,3
1537552323,3,1
1537552923,4,1
1537554123,5,0
1537555323,31,18
1537555923,2,0
1537556524,8,7
1537557724,13,5
1537558924,9,1
1537560123,6,2
1537560723,1,3
1537561323,1,3
1537562524,3,9
1537563124,4,0
1537563724,2,16
1537564323,2,0
1537564923,1,16
1537566123,1,0
1537566723,2,15
1537567323,2,0
1537568523,15,9
1537569123,4,2
1537569723,6,1
1537570324,7,1
1537570924,6,2
1537571523,5,12
1537572123,7,0
1537572724,3,3
1537573323,4,7
1537573924,5,0
1537574527,3,0
1537575723,1,11
1537576923,1,16
1537577523,1,0
1537578124,12,0
