DateTime,AddedIPs,RemovedIPs
1535825000,2,0
1535828601,1,3
1535832140,1,0
1535835800,1,2
1535843001,4,4
1535850200,2,5
1535853801,2,0
1535857401,0,8
1535859321,2,0
1535864601,2,6
1535871741,1,1
1535879002,1,4
1535882602,3,0
1535886201,1,1
1535889802,0,2
1535893342,1,5
1535896942,2,0
1535900604,1,6
1535904143,1,0
1535907804,1,0
1535911342,4,4
1535914942,1,0
1535918602,1,0
1535925742,0,3
1535933004,0,2
1535940142,3,6
1535943802,2,0
1535947405,3,4
1535950944,1,0
1535954602,3,1
1535958142,1,1
1535961742,1,2
1535965342,1,4
1535969004,4,0
1535972542,1,2
1535976203,3,0
1535979743,2,2
1535983403,7,0
1535987005,1,0
1535990544,2,0
1535994143,8,3
1535997803,2,0
1536001402,0,1
1536004942,1,0
1536008607,0,1
1536012202,1,0
1536015803,0,3
1536019403,1,0
1536026548,0,6
1536030204,2,0
1536033743,2,3
1536037403,4,0
1536040463,1,4
1536040943,0,1
1536044605,3,0
1536048146,1,0
1536051804,1,1
1536055343,3,1
1536062604,0,1
1536066203,1,0
1536069744,2,1
1536073404,1,0
1536077003,2,8
1536080543,1,0
1536084203,3,4
1536091343,0,2
1536094944,0,1
1536102204,1,0
1536105803,4,0
1536109403,1,1
1536116604,2,4
1536120207,3,0
1536123804,4,5
1536131004,3,4
1536134547,2,0
1536138147,1,0
1536141806,0,1
1536145404,2,5
1536149008,1,1
1536152604,1,0
1536156204,0,1
1536159744,1,3
1536163344,3,4
1536167007,3,1
1536170546,2,4
1536174145,4,2
1536177805,3,0
1536184945,1,1
1536188609,1,1
1536192204,0,4
1536199405,4,3
1536202949,2,0
1536206545,4,6
1536210146,2,0
1536213805,1,2
1536217409,1,0
1536220950,1,0
1536224549,1,1
1536228147,0,6
1536231747,2,0
1536233365,0,1
1536238945,2,3
1536242545,2,0
1536246145,3,1
1536249746,2,2
1536253405,3,0
1536257006,1,0
1536260606,1,3
1536264206,2,3
1536267806,1,1
1536271346,0,1
1536274946,0,3
1536278545,1,0
1536282205,1,0
1536285805,1,3
1536289406,8,1
1536293006,2,5
1536296605,1,5
1536300146,1,1
1536303806,1,2
1536307406,1,1
1536311006,0,1
1536314606,2,2
1536318208,3,0
1536321746,1,3
1536329006,2,2
1536332606,1,3
1536336146,3,5
1536339747,2,0
1536343347,3,3
1536347006,1,0
1536350546,3,1
1536357746,2,3
