DateTime,AddedIPs,RemovedIPs
1535896942,2,2
1535900604,2,0
1535904143,1,0
1535907804,1,3
1535911342,4,1
1535914942,1,1
1535918602,1,1
1535925742,1,1
1535929404,0,3
1535933004,0,2
1535940142,3,6
1535943802,3,2
1535947405,3,1
1535950944,1,2
1535954602,3,4
1535958142,1,2
1535961742,1,0
1535965342,2,0
1535969004,5,2
1535972542,1,1
1535976203,3,1
1535979743,3,0
1535983403,7,0
1535987005,1,1
1535990544,3,2
1535994143,9,6
1535997803,3,6
1536001402,1,0
1536004942,1,2
1536008607,1,1
1536012202,1,0
1536015803,1,0
1536019403,1,0
1536023003,0,1
1536026548,1,2
1536030204,2,3
1536033743,2,1
1536037403,4,5
1536040463,1,1
1536044605,3,4
1536048146,2,0
1536051804,1,0
1536055343,4,1
1536059003,0,4
1536062604,0,1
1536066203,1,1
1536069744,2,1
1536073404,1,4
1536077003,2,4
1536080543,1,1
1536084203,3,5
1536091343,2,2
1536098545,0,1
1536102204,1,1
1536105803,4,1
1536109403,1,4
1536113004,1,2
1536116604,2,1
1536120207,3,4
1536123804,4,3
1536127404,1,1
1536131004,3,1
1536134547,2,1
1536138147,1,1
1536141806,0,2
1536145404,2,4
1536149008,1,3
1536152604,1,3
1536156204,2,0
1536159744,1,0
1536163344,3,1
1536167007,3,3
1536170546,3,0
1536174145,4,3
1536177805,3,3
1536181405,0,1
1536184945,1,1
1536188609,1,3
1536199405,4,3
1536202949,2,1
1536206545,4,5
1536210146,2,5
1536213805,1,1
1536217409,2,2
1536220950,1,1
1536224549,1,1
1536231747,2,4
1536233365,0,1
1536238945,2,2
1536242545,3,2
1536246145,3,4
1536249746,2,5
1536253405,4,0
1536257006,1,3
1536260606,1,0
1536264206,2,1
1536267806,1,0
1536271346,0,3
1536274946,1,1
1536278545,1,3
1536282205,1,2
1536285805,1,1
1536289406,8,8
1536293006,2,5
1536296605,1,5
1536300146,3,2
1536303806,3,2
1536307406,1,1
1536311006,0,1
1536314606,2,1
1536318208,3,3
1536321746,1,0
1536325408,0,1
1536329006,2,1
1536332606,1,2
1536336146,3,3
1536339747,4,2
1536343347,3,4
1536347006,1,2
1536350546,4,1
1536354208,0,3
1536357746,5,0
1536361346,1,1
1536365007,0,1
1536368547,1,1
1536372147,2,2
1536375807,0,3
1536379888,3,3
1536386551,3,4
1536390147,2,1
1536393809,0,4
1536401007,2,9
1536404547,2,0
1536408147,1,3
1536415347,5,5
1536419007,1,2
1536422547,3,4
1536426207,3,3
1536429808,1,2
1536433411,4,2
1536436949,1,2
1536440553,3,1
1536444211,1,2
1536447809,2,0
1536451349,1,1
1536454950,1,2
1536458547,2,3
1536462208,3,1
1536465747,1,1
1536469347,1,4
1536476607,2,2
1536483748,2,0
1536487408,1,2
1536491008,2,1
1536494608,0,1
1536498210,1,0
1536501808,0,1
1536505348,2,0
1536508948,10,5
1536512548,2,1
1536516213,2,1
1536519748,2,2
1536523408,2,1
1536527009,1,1
1536530609,0,2
1536534212,3,3
1536537749,3,1
1536545008,2,1
1536548609,1,3
1536552148,3,3
1536555808,1,2
1536559408,2,3
1536563008,1,1
1536570210,0,3
1536573811,2,2
1536577349,0,2
1536584549,1,0
1536588149,3,1
1536591749,6,3
1536595409,2,4
1536598950,2,5
1536602549,7,0
1536606209,1,2
1536609749,3,0
1536613351,2,3
1536617012,2,1
1536620550,1,1
1536624209,0,3
1536627749,0,1
1536631349,2,1
1536634950,17,3
1536638610,9,3
1536642149,4,2
1536645749,2,1
1536649351,0,4
1536653009,0,2
1536656550,3,1
1536660150,0,1
1536667410,4,1
1536671011,1,2
1536674550,0,3
1536678213,3,7
1536681810,1,1
1536685350,0,2
1536689012,4,9
1536692551,3,1
1536696211,2,0
1536699030,0,1
1536703350,4,3
1536707011,1,3
1536710551,2,0
1536714150,1,1
1536717755,2,1
1536721350,3,4
1536725011,2,1
1536728550,2,1
1536732210,1,3
1536735750,1,2
1536739351,2,0
1536743011,1,1
1536746554,1,4
1536753751,0,1
1536757353,1,4
1536760952,2,5
1536764551,2,1
1536768211,4,0
1536771751,1,6
1536775352,2,2
1536779012,2,2
1536782611,2,1
1536786214,3,2
1536789811,1,0
1536793351,1,0
1536797012,1,1
1536800552,1,1
1536804153,0,1
1536807813,5,7
1536811411,3,2
1536815011,4,2
1536822153,0,1
1536825812,0,1
1536829411,0,3
1536833012,2,3
1536836554,3,3
1536840214,1,2
1536843752,3,0
1536847413,3,5
1536851012,4,4
1536854613,2,3
1536858213,1,0
1536861813,1,0
1536865353,1,0
1536869013,0,4
1536872613,1,0
1536876155,0,2
1536879816,2,2
1536883413,2,2
1536890553,1,0
1536894214,1,1
1536897813,2,3
1536901414,6,3
1536903333,1,0
1536904952,0,1
1536912153,0,2
1536915754,1,0
1536919352,1,2
1536923012,0,4
1536926614,2,1
1536930153,3,3
1536933813,5,1
1536937413,2,2
1536941015,4,2
1536944553,4,1
1536948155,4,0
1536951756,1,1
1536955354,2,2
1536959016,2,3
1536962614,2,3
1536966219,0,1
1536969753,1,1
1536976955,3,2
1536980613,3,2
1536984217,0,1
1536991414,2,3
1536995016,4,3
1537002214,3,3
1537005821,1,1
1537009414,2,0
1537013013,4,1
1537016559,2,3
1537020154,1,1
1537023820,0,1
1537027361,1,0
1537030955,0,2
1537034618,1,1
1537038157,1,0
1537041757,2,2
1537045421,0,1
1537048963,1,2
1537052561,3,2
1537056158,1,1
1537059820,1,4
1537063358,2,0
1537066962,2,2
1537070618,1,1
1537074156,2,2
1537077764,2,3
1537081418,1,2
1537084955,2,2
1537092162,1,4
1537095822,1,1
1537099356,1,1
1537103016,1,2
1537110155,4,0
1537113756,1,3
1537117355,2,1
1537121016,1,0
1537124616,3,2
1537128155,3,3
1537131756,3,2
1537134695,1,1
1537135355,1,0
1537138958,0,1
1537142555,1,1
1537146155,0,1
1537149816,2,4
1537153416,5,2
1537160555,0,2
1537164155,3,3
1537167815,3,4
1537171356,1,2
1537174957,2,1
1537178555,2,4
1537182216,1,3
1537189356,1,0
1537192956,3,3
1537196617,2,2
1537200215,3,3
1537203817,2,0
1537207416,1,1
1537210956,2,1
1537214559,3,1
1537218158,2,0
1537221816,2,1
1537225419,1,0
1537228959,1,5
1537232620,1,3
1537236159,4,2
1537239756,1,3
1537243356,1,2
1537246958,3,3
1537250616,1,5
1537254162,1,1
1537257816,0,3
1537261421,1,1
1537265016,1,3
1537268558,1,0
1537272156,2,3
1537275756,0,1
1537279417,3,1
1537282956,6,1
1537286557,0,1
1537290163,1,1
1537293762,2,2
1537297358,1,1
1537300957,2,0
1537308157,1,2
1537311759,1,1
1537315419,1,2
1537319020,1,3
1537322562,4,5
1537326219,2,2
1537329817,3,3
1537333419,0,1
1537337023,1,2
1537340559,1,1
1537344224,2,5
1537347826,0,1
1537354965,2,4
1537358559,0,14
1537362225,0,6
1537365759,4,0
1537369423,2,13
1537373019,3,14
1537376560,3,1
1537380159,1,2
1537383764,4,2
1537387359,0,2
1537390959,1,0
1537394559,8,2
1537398458,5,0
1537401758,1,1
1537405359,4,0
1537408963,4,2
1537412618,20,3
1537416222,3,4
1537423358,2,3
1537426958,0,1
1537434160,9,0
1537437761,1,0
1537441419,1,4
1537444958,3,2
1537448618,2,2
1537452161,2,3
1537455759,3,1
1537459362,10,1
1537466560,2,1
1537470158,2,1
1537473819,3,3
1537477422,1,0
1537480963,1,0
1537484562,1,7
1537488220,0,3
1537491760,1,3
1537495420,1,12
1537502620,3,3
1537506161,2,2
1537509759,2,3
1537513359,3,2
1537517020,0,5
1537524163,3,2
1537527822,2,2
1537531420,1,1
1537538563,1,2
1537542222,4,4
1537549422,2,1
1537552962,3,2
1537556620,0,2
1537560222,1,0
1537563762,1,0
1537581821,2,2
1537585361,4,3
1537588961,2,2
1537590160,0,2
1537592620,0,1
1537596220,3,1
1537599764,0,1
1537607027,4,1
1537610562,0,1
1537614221,2,2
1537617821,12,3
1537621363,1,3
1537628563,1,0
1537632161,4,4
1537635767,1,0
1537639361,4,3
1537643021,4,1
1537646563,0,1
1537650163,0,1
1537653762,1,3
1537657425,0,1
1537661023,2,2
1537664561,1,0
1537671770,2,2
1537675423,1,1
1537682562,0,2
1537689763,3,3
1537696962,4,2
1537700562,2,2
1537704222,2,2
1537707762,1,0
1537714962,1,1
1537718562,2,1
1537722162,4,1
1537725767,12,3
1537729423,1,0
1537732966,1,1
1537736564,1,0
1537740162,9,0
1537747428,1,0
1537750964,1,2
1537754562,2,3
1537758163,1,2
1537761762,2,1
1537765369,1,3
1537769022,3,4
1537772623,1,8
1537776166,1,1
1537783362,2,3
1537786963,1,2
1537790624,1,3
1537794223,2,2
1537797763,4,3
1537801427,1,1
1537823333,0,5
1537824422,21,2
1537825530,5,0
1537826569,1,0
1537830170,9,3
1537833769,2,0
1537837369,1,1
1537841029,3,3
1537848169,1,2
1537851769,4,7
1537851948,0,2
1537855368,3,0
1537858971,1,0
1537862573,1,3
1537866169,2,0
1537869831,0,5
